measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6963602;199.181.131.249;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963592;124.225.65.154;1;3;5;['FR', 'US', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN'];CN;AS
6963829;220.243.193.127;2;2;5;['US', 'CN'];['FR', 'FR', 'FR', 'US', 'CN'];CN;AS
6964271;59.106.98.139;2;4;5;['FR', None, 'US', 'JP'];['FR', 'FR', 'DE', 'GB', 'JP'];JP;AS
6963586;124.127.180.200;2;5;6;['FR', 'FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963682;42.236.9.70;1;3;5;['FR', None, 'CN'];['FR', 'FR', 'FR', None, 'CN'];CN;AS
6964400;216.35.221.76;2;5;6;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6963616;216.21.13.12;1;4;5;['FR', 'FR', 'NL', 'US'];['FR', 'FR', 'DE', 'NL', 'US'];US;NA
6964133;62.138.116.25;4;6;7;['FR', 'FR', 'NL', 'DE', 'DE', 'DE'];['FR', 'FR', 'FR', 'NL', 'DE', 'DE', 'DE'];DE;EU
6964005;69.171.230.5;1;2;4;['FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6964349;115.231.100.109;1;4;5;['FR', 'FR', 'US', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN'];CN;AS
6963712;104.27.6.113;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964398;111.206.208.220;2;4;6;['FR', None, 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN'];CN;AS
6963825;210.51.19.63;2;5;6;['FR', 'FR', 'US', 'US', 'CN'];['FR', 'FR', 'DE', 'GB', 'US', 'CN'];CN;AS
6963640;104.20.0.4;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963672;192.211.12.20;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963861;185.31.26.232;1;3;5;['FR', None, 'PL'];['FR', 'FR', 'DE', 'PL', 'PL'];PL;EU
6964452;121.40.21.118;3;6;7;['FR', 'FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN'];CN;AS
6963961;74.115.50.109;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964075;104.25.174.27;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963916;58.68.250.146;1;5;6;['FR', 'FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963750;104.156.81.217;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964408;192.187.93.86;3;5;6;['FR', None, 'US', 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964065;206.108.40.108;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964372;46.209.99.210;0;5;4;['FR', '/', 'RU', 'AZ', '/'];['FR', 'FR', 'BG', 'AZ'];IR;AS
6963736;203.209.152.60;4;6;7;['FR', 'FR', None, 'JP', 'JP', 'JP'];['FR', 'FR', 'FR', None, 'JP', 'JP', 'JP'];JP;AS
6964422;104.20.81.244;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964283;104.16.15.190;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964450;151.101.16.144;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963999;208.93.170.15;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963952;198.134.112.232;2;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963948;192.33.31.51;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964259;198.176.43.184;2;4;5;['FR', 'FR', 'US', 'US'];['FR', 'FR', 'FR', 'US', 'US'];US;NA
6964394;74.50.63.27;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963720;104.156.81.67;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964323;210.189.86.12;1;4;7;['FR', 'US', 'US', 'JP'];['FR', 'FR', 'DE', 'US', 'JP', 'JP', 'JP'];JP;AS
6963865;104.85.66.52;1;3;5;['FR', 'NL', 'US'];['FR', 'FR', 'FR', 'FR', 'US'];US;NA
6964464;87.250.255.11;1;3;4;['FR', 'FR', 'RU'];['FR', 'FR', 'DE', 'RU'];RU;EU
6963668;54.222.60.218;1;6;6;['FR', 'US', 'CN', 'CN', 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN'];CN;AS
6963680;186.192.90.5;2;3;5;['FR', None, 'BR'];['FR', 'FR', 'FR', None, 'BR'];BR;SA
6964353;162.208.32.99;2;4;6;['FR', 'US', 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6963684;72.21.206.80;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964444;199.83.134.216;0;3;1;['FR', None, 'US'];['FR'];US;NA
6964467;216.33.197.90;2;5;7;['FR', 'FR', None, 'US', 'AR'];['FR', 'FR', 'FR', 'FR', 'US', 'US', 'AR'];AR;SA
6963934;208.85.40.20;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964356;185.6.169.69;2;2;4;['CH', 'CH'];['FR', 'FR', 'CH', 'CH'];CH;EU
6963676;96.43.149.26;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964321;140.205.230.48;4;6;7;['FR', 'FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN', 'CN'];CN;AS
6964061;61.129.65.103;2;4;6;['FR', 'FR', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6964364;140.205.250.54;1;4;7;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN', 'CN'];CN;AS
6964307;95.142.199.215;1;5;4;['FR', 'FR', 'RU', '/', 'RU'];['FR', 'FR', 'DE', 'RU'];RU;EU
6964219;68.71.222.16;1;3;4;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB'];US;NA
6964033;104.16.11.250;1;4;4;['FR', 'FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963886;125.6.146.13;2;4;6;['FR', None, 'JP', 'JP'];['FR', 'FR', 'DE', 'GB', 'JP', 'JP'];JP;AS
6963552;151.101.1.69;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963708;200.147.67.142;1;3;5;['FR', None, 'BR'];['FR', 'FR', 'FR', 'US', 'BR'];BR;SA
6964149;78.140.188.189;2;2;5;['US', 'NL'];['FR', 'FR', 'DE', 'US', 'NL'];NL;EU
6964053;104.16.122.127;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963979;119.145.147.181;2;4;6;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963821;82.165.229.87;1;4;4;['FR', 'FR', 'FR', 'DE'];['FR', 'FR', 'DE', 'DE'];DE;EU
6963815;194.132.198.165;1;5;4;['FR', 'FR', None, '/', 'JP'];['FR', 'FR', 'DE', 'JP'];JP;AS
6963981;207.241.224.2;2;4;6;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964289;104.16.29.30;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964049;23.205.220.82;1;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964131;74.112.185.90;1;4;5;['FR', 'FR', 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964011;118.145.26.112;0;8;8;['FR', 'FR', None, 'CN', 'CN', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN', 'CN'];CN;AS
6963516;193.51.224.148;0;1;2;['FR'];['FR', 'FR'];FR;EU
6963694;124.95.181.184;1;3;5;['FR', None, 'CN'];['FR', 'FR', 'FR', 'US', 'CN'];CN;AS
6964376;170.146.93.56;2;5;5;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963498;108.174.10.10;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963670;104.16.51.93;1;4;4;['FR', 'FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963514;198.41.209.138;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964396;65.97.58.16;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];GB;EU
6964205;151.101.129.34;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964319;23.35.125.139;1;2;3;['FR', 'NL'];['FR', 'FR', 'NL'];NL;EU
6963777;104.70.253.135;1;3;4;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB'];US;NA
6963835;123.103.57.11;4;7;8;['FR', 'FR', 'US', 'CN', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN', 'CN'];CN;AS
6964077;204.154.94.73;1;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963769;104.94.192.167;1;3;6;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', None, 'US'];US;NA
6964157;104.20.55.43;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963650;125.6.149.67;2;4;6;['FR', None, 'JP', 'JP'];['FR', 'FR', 'DE', 'GB', 'JP', 'JP'];JP;AS
6963892;46.28.209.20;1;4;5;['FR', 'FR', 'DE', 'ES'];['FR', 'FR', 'DE', 'GB', 'ES'];ES;EU
