Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
nametests.com;104.16.51.93;US;NA;2400:cb00:2048:1::6810:325d;HK;AS
zillow.com;192.211.12.20;US;NA;;;
ameblo.jp;27.133.208.13;JP;AS;;;
salesforce.com;96.43.149.26;US;NA;;;
google.co.ve;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
globo.com;186.192.90.5;BR;SA;;;
so.com;42.236.9.70;CN;AS;;;
amazonaws.com;72.21.206.80;US;NA;;;
indeed.com;50.97.35.152;US;NA;;;
google.com.ua;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
etsy.com;192.147.0.123;US;NA;;;
tudou.com;123.126.98.150;CN;AS;;;
detail.tmall.com;124.95.181.184;CN;AS;;;
yelp.com;104.16.56.23;US;NA;;;
soundcloud.com;93.184.220.127;US;NA;;;
google.co.za;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
google.gr;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
weather.com;23.206.35.117;NL;EU;;;
steamcommunity.com;104.94.192.167;US;NA;;;
uol.com.br;200.147.67.142;BR;SA;2804:49c:3103:401:ffff:ffff:ffff:1;BR;SA
onlinesbi.com;210.210.18.53;IN;AS;;;
tuberel.com;104.27.6.113;US;NA;2400:cb00:2048:1::681b:671;HK;AS
cnzz.com;42.156.162.55;CN;AS;;;
doubleclick.net;172.217.19.142;US;NA;2a00:1450:4007:805::200e;IE;EU
tripadvisor.com;192.229.162.112;US;NA;;;
theguardian.com;104.156.81.67;US;NA;;;
gfycat.com;54.192.199.95;US;NA;;;
bet365.com;5.226.176.16;GB;EU;;;
uptodown.com;104.103.89.231;US;NA;;;
directrev.com;54.231.120.185;US;NA;;;
slideshare.net;108.174.10.19;US;NA;;;
goo.ne.jp;153.254.147.65;JP;AS;;;
varzesh3.com;94.182.163.3;IR;AS;;;
dmm.co.jp;203.209.152.60;JP;AS;;;
zhihu.com;54.223.189.245;CN;AS;;;
google.com.co;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
torrentz.eu;185.87.146.3;PL;EU;;;
stackexchange.com;151.101.65.69;US;NA;;;
taboola.com;107.22.178.157;US;NA;;;
feedly.com;104.20.60.241;US;NA;;;
vimeo.com;104.156.81.217;US;NA;;;
redtube.com;64.210.135.134;US;NA;;;
taringa.net;104.16.254.64;US;NA;;;
pixiv.net;210.129.120.43;JP;AS;;;
google.com.ng;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
washingtonpost.com;192.33.31.56;US;NA;;;
ontests.me;104.20.29.48;US;NA;2400:cb00:2048:1::6814:1c30;HK;AS
theladbible.com;104.19.206.29;US;NA;;;
google.ro;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
steampowered.com;104.94.192.167;US;NA;;;
