Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
flickr.com;69.147.76.173;US;NA;;;
hclips.com;104.20.93.127;US;NA;;;
detik.com;203.190.242.69;ID;AS;;;
udn.com;104.70.253.135;US;NA;;;
google.be;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
target.com;23.200.86.143;FR;EU;;;
google.com.pe;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
foxnews.com;23.200.86.152;FR;EU;;;
putlocker.is;104.23.197.8;US;NA;;;
mega.nz;154.53.224.158;US;NA;2001:978:2:aa::25:2;DE;EU
fbcdn.net;173.252.120.6;US;NA;2a03:2880:11:1f04:face:b00c::1;US;NA
blogspot.in;172.217.20.41;US;NA;2a00:1450:4007:808::2009;IE;EU
comcast.net;69.252.80.75;US;NA;;;
web.de;82.165.230.17;DE;EU;;;
orange.fr;193.252.148.140;FR;EU;;;
americanexpress.com;104.70.242.123;US;NA;;;
deviantart.com;54.230.197.162;US;NA;;;
youporn.com;31.192.116.24;NL;EU;;;
youm7.com;104.16.85.202;US;NA;2400:cb00:2048:1::6810:56ca;HK;AS
nih.gov;54.235.145.223;US;NA;;;
google.com.sg;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
slither.io;104.20.24.135;US;NA;;;
spotify.com;194.132.198.165;JP;AS;;;
google.com.ph;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
upornia.com;104.24.3.15;US;NA;;;
gmx.net;82.165.229.87;DE;EU;;;
leboncoin.fr;193.164.196.82;FR;EU;;;
ifeng.com;210.51.19.63;CN;AS;;;
wikihow.com;151.101.32.68;US;NA;;;
douyu.com;220.243.193.127;CN;AS;;;
roblox.com;69.172.201.47;US;NA;;;
google.se;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
zol.com.cn;123.103.57.11;CN;AS;;;
hdfcbank.com;104.16.52.162;US;NA;2400:cb00:2048:1::6810:35a2;HK;AS
51.la;117.21.226.199;CN;AS;;;
thepiratebay.org;104.18.41.167;US;NA;;;
forbes.com;63.240.4.179;US;NA;;;
google.at;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
mozilla.org;63.245.215.20;US;NA;;;
babytree.com;103.25.22.168;CN;AS;;;
wix.com;107.154.110.40;US;NA;;;
bestbuy.com;184.51.148.152;NL;EU;;;
onet.pl;213.180.141.140;PL;EU;;;
google.cn;74.125.71.160;US;NA;2a00:1450:400c:c02::a0;IE;EU
xfinity.com;96.114.14.140;US;NA;;;
allegro.pl;185.31.26.232;PL;EU;;;
google.dz;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
groupon.com;104.85.66.52;US;NA;;;
adnetworkperformance.com;130.211.186.109;US;NA;;;
wikimedia.org;91.198.174.192;NL;EU;2620:0:862:ed1a::1;US;NA
