Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
mlb.com;209.102.213.14;US;NA;;;
youtube-mp3.org;104.20.94.121;US;NA;2400:cb00:2048:1::6814:5e79;HK;AS
zendesk.com;192.161.154.1;US;NA;;;
mama.cn;119.145.147.181;CN;AS;;;
archive.org;207.241.224.2;US;NA;;;
businessinsider.com;104.156.85.64;US;NA;;;
att.com;144.160.155.43;US;NA;2001:1890:1c00:5112::f:1008;US;NA
google.ie;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
media.tumblr.com;54.192.198.72;US;NA;;;
telegraph.co.uk;184.51.148.169;NL;EU;;;
adexc.net;163.172.21.184;GB;EU;;;
oracle.com;137.254.120.50;US;NA;;;
kinogo.co;104.31.83.13;US;NA;;;
webmd.com;208.93.170.15;US;NA;;;
csdn.net;101.201.172.229;CN;AS;;;
sabah.com.tr;46.20.153.2;TR;AS;;;
messenger.com;69.171.230.5;US;NA;2a03:2880:11:1f04:face:b00c::1;US;NA
ign.com;52.207.3.146;US;NA;;;
badoo.com;31.222.68.33;GB;EU;;;
1905.com;118.145.26.112;CN;AS;;;
51yes.com;119.147.114.19;CN;AS;;;
lifebuzz.com;104.16.50.136;US;NA;;;
cnnic.cn;159.226.6.133;CN;AS;;;
liputan6.com;52.76.232.196;US;NA;;;
gizmodo.com;151.101.129.34;US;NA;;;
rambler.ru;81.19.82.10;RU;EU;;;
gsmarena.com;148.251.77.209;DE;EU;;;
addthis.com;104.16.59.133;US;NA;;;
hurriyet.com.tr;83.66.162.3;TR;AS;;;
digikala.com;79.175.144.35;IR;AS;;;
giphy.com;104.16.11.250;US;NA;;;
39.net;121.14.241.75;CN;AS;;;
secureserver.net;97.74.104.222;US;NA;;;
nyaa.se;104.20.75.106;US;NA;2400:cb00:2048:1::6814:4a6a;HK;AS
mailchimp.com;23.206.36.133;NL;EU;;;
likes.com;104.16.65.178;US;NA;;;
rdsa2013.com;173.192.117.80;US;NA;;;
kinopoisk.ru;213.180.193.105;RU;EU;2a02:6b8::2:105;RU;EU
macys.com;23.205.220.82;US;NA;;;
dmm.com;203.209.152.98;JP;AS;;;
medium.com;104.16.122.127;US;NA;;;
friv.com;108.59.8.152;US;NA;;;
espncricinfo.com;80.168.92.141;GB;EU;;;
kapanlagi.com;203.12.21.5;ID;AS;;;
eastday.com;61.129.65.103;CN;AS;;;
google.az;172.217.19.132;US;NA;2a00:1450:4007:805::2004;IE;EU
intuit.com;206.108.40.108;US;NA;;;
thesaurus.com;66.235.120.94;US;NA;;;
reimageplus.com;161.47.7.14;US;NA;;;
libero.it;37.9.239.32;IT;EU;;;
