Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
naukri.com;54.251.103.25;SG;AS;;;
life.tw;104.25.174.27;US;NA;2400:cb00:2048:1::6819:af1b;HK;AS
evernote.com;204.154.94.73;US;NA;;;
sahibinden.com;85.111.30.111;TR;AS;;;
taleo.net;68.233.77.233;US;NA;;;
repubblica.it;213.92.16.101;IT;EU;;;
google.no;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
bloomberg.com;69.191.252.148;US;NA;;;
openload.co;104.16.165.50;US;NA;2400:cb00:2048:1::6810:a632;HK;AS
adplxmd.com;205.186.187.178;US;NA;;;
wsj.com;205.203.140.1;US;NA;;;
scribd.com;151.101.128.175;US;NA;;;
google.sk;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
savefrom.net;146.185.29.109;GB;EU;;;
kissanime.to;104.20.69.204;US;NA;2400:cb00:2048:1::6814:44cc;HK;AS
ouo.io;104.20.1.139;US;NA;;;
ck101.com;104.19.142.70;US;NA;;;
blogfa.com;104.31.72.239;US;NA;;;
kohls.com;104.101.185.194;US;NA;;;
livedoor.com;125.6.149.67;JP;AS;;;
amazon.ca;176.32.100.45;NL;EU;;;
impress.co.jp;203.183.234.2;JP;AS;;;
exoclick.com;178.33.165.129;ES;EU;2001:41d0:8:2674::70;FR;EU
kickstarter.com;54.230.197.112;US;NA;;;
freepik.com;178.33.44.27;FR;EU;;;
elmogaz.com;104.31.76.24;US;NA;;;
haber7.com;46.245.163.1;TR;AS;;;
google.dk;172.217.16.67;US;NA;2a00:1450:4007:805::2003;IE;EU
upwork.com;104.16.32.27;US;NA;;;
box.com;74.112.185.90;US;NA;;;
spiegel.de;62.138.116.25;DE;EU;;;
themeforest.net;104.96.26.164;US;NA;;;
doublepimp.com;69.89.69.99;US;NA;;;
daikynguyenvn.com;104.20.64.203;US;NA;2400:cb00:2048:1::6814:3fcb;HK;AS
telegram.org;149.154.167.99;GB;EU;2001:67c:4e8:fa60:3::811:139;NL;EU
newegg.com;193.51.224.8;FR;EU;;;
hm.com;134.213.2.238;GB;EU;;;
rt.com;207.244.80.166;US;NA;;;
sh.st;78.140.188.189;NL;EU;;;
hatena.ne.jp;59.106.194.19;JP;AS;;;
acfun.tv;23.248.160.250;US;NA;;;
southwest.com;208.94.153.100;US;NA;;;
extratorrent.cc;104.20.55.43;US;NA;2400:cb00:2048:1::6814:372b;HK;AS
olx.pl;5.134.209.108;PL;EU;;;
jabong.com;92.122.19.40;GB;EU;;;
shopify.com;54.83.2.218;US;NA;;;
thesportbible.com;104.16.64.153;US;NA;;;
wunderground.com;38.102.136.104;US;NA;;;
realtor.com;206.131.180.21;US;NA;;;
4shared.com;204.155.149.139;US;NA;;;
