Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
rednet.cn;113.240.254.10;CN;AS;;;
urdupoint.com;104.25.160.23;US;NA;;;
independent.co.uk;151.101.65.95;US;NA;;;
tutorialspoint.com;72.21.91.8;US;NA;;;
azlyrics.com;5.79.69.118;NL;EU;;;
gamepedia.com;104.16.15.190;US;NA;;;
blogspot.jp;216.58.211.105;US;NA;2a00:1450:4007:80c::2009;IE;EU
google.lk;74.125.71.94;US;NA;2a00:1450:4007:805::2003;IE;EU
meetup.com;104.16.29.30;US;NA;;;
atlassian.net;165.254.226.65;US;NA;;;
moneycontrol.com;124.153.64.100;IN;AS;;;
xda-developers.com;209.58.128.90;US;NA;;;
suning.com;220.243.193.127;CN;AS;;;
google.fi;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
disqus.com;23.235.33.134;US;NA;;;
thewatchseries.to;81.17.22.114;CH;EU;;;
nifty.com;222.158.213.148;JP;AS;;;
vk.me;95.142.199.215;RU;EU;2a00:bdc0:4:10c:1::612:2;RU;EU
hdzog.com;104.24.4.33;US;NA;;;
gamer.com.tw;104.20.24.138;US;NA;;;
bookmyshow.com;54.231.241.169;US;NA;;;
csgolounge.com;104.20.66.152;US;NA;2400:cb00:2048:1::6814:4298;HK;AS
nikkei.com;138.101.8.100;JP;AS;;;
airtel.in;23.35.125.139;NL;EU;;;
adidas.tmall.com;140.205.230.48;CN;AS;;;
weblio.jp;210.189.86.12;JP;AS;;;
kooora.com;199.83.129.48;US;NA;;;
kijiji.ca;91.195.49.131;DE;EU;;;
cnblogs.com;42.121.252.58;CN;AS;;;
streamcloud.eu;93.115.81.41;;;;;
allrecipes.com;64.94.140.201;US;NA;;;
lenta.ru;81.19.72.32;RU;EU;;;
yandex.ua;77.88.55.55;RU;EU;2a02:6b8:a::a;RU;EU
researchgate.net;209.15.209.70;CA;NA;;;
sakura.ne.jp;210.224.168.100;JP;AS;;;
makemytrip.com;180.179.112.50;IN;AS;;;
google.com.kw;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
coursera.org;54.230.197.250;US;NA;;;
huaban.com;115.231.100.109;CN;AS;;;
fiverr.com;192.33.31.72;US;NA;;;
wayfair.com;162.208.32.99;US;NA;;;
kayak.com;185.6.169.69;CH;EU;;;
asus.com;103.10.4.216;TW;AS;;;
nike.com;146.197.184.71;US;NA;;;
sq.cn;220.231.200.140;CN;AS;;;
list.tmall.com;140.205.250.54;CN;AS;;;
gamersky.com;222.223.239.125;CN;AS;;;
y8.com;141.0.173.22;NL;EU;;;
chaoshi.tmall.com;140.205.170.62;CN;AS;;;
shaparak.ir;46.209.99.210;IR;AS;;;
