Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
udemy.com;104.20.73.64;US;NA;;;
adp.com;170.146.93.56;US;NA;;;
youdao.com;61.135.218.26;CN;AS;;;
tradeadexchange.com;104.197.47.161;US;NA;;;
hootsuite.com;54.163.249.107;US;NA;;;
blogspot.com.es;172.217.18.233;US;NA;2a00:1450:4007:80c::2009;IE;EU
watsons.tmall.com;140.205.170.62;CN;AS;;;
norton.com;155.64.49.54;US;NA;;;
overstock.com;173.241.154.10;US;NA;;;
justdial.com;23.200.87.127;FR;EU;;;
instructables.com;74.50.63.27;US;NA;;;
drudgereport.com;65.97.58.16;GB;EU;;;
le.com;111.206.208.220;CN;AS;;;
npr.org;216.35.221.76;US;NA;;;
so-net.ne.jp;210.139.248.1;JP;AS;;;
dropbooks.tv;209.95.39.162;US;NA;;;
momoshop.com.tw;203.66.53.8;TW;AS;;;
latimes.com;192.187.93.86;US;NA;;;
wp.com;192.0.78.24;US;NA;;;
uploaded.net;81.171.123.200;NL;EU;;;
aa.com;23.15.77.41;NL;EU;;;
ticketmaster.com;209.104.56.26;US;NA;;;
cbsnews.com;170.20.0.18;US;NA;;;
yadi.sk;213.180.193.50;RU;EU;2a02:6b8::50;RU;EU
lapatilla.com;104.20.81.244;US;NA;2400:cb00:2048:1::6814:50f4;HK;AS
people.com;216.146.46.10;US;NA;;;
meaww.com;104.20.86.35;US;NA;;;
4dsply.com;69.89.74.80;US;NA;;;
eyny.com;67.228.27.108;US;NA;;;
korabia.com;104.27.168.11;US;NA;;;
viralthread.com;104.24.10.2;US;NA;2400:cb00:2048:1::6818:a02;HK;AS
wikiwiki.jp;104.20.43.155;US;NA;;;
e-hentai.org;37.48.119.34;NL;EU;;;
change.org;104.16.4.13;US;NA;;;
instructure.com;54.165.95.219;US;NA;;;
prothom-alo.com;199.83.134.216;US;NA;;;
alexa.cn;121.40.42.87;CN;AS;;;
seasonvar.ru;178.236.137.157;GB;EU;;;
www.gov.uk;151.101.16.144;US;NA;;;
123cha.com;121.40.21.118;CN;AS;;;
cnmo.com;117.79.92.119;CN;AS;;;
interia.pl;217.74.65.23;PL;EU;;;
patch.com;104.156.81.70;US;NA;;;
teepr.com;104.20.51.56;US;NA;2400:cb00:2048:1::6814:3338;HK;AS
ensonhaber.com;37.58.17.122;TR;AS;;;
yandex.com.tr;87.250.255.11;RU;EU;2a02:6b8::224;RU;EU
mercadolibre.com.ve;216.33.197.90;AR;SA;;;
verizon.com;192.16.31.23;US;NA;;;
yts.ag;104.27.214.30;US;NA;2400:cb00:2048:1::681b:d61e;HK;AS
panda.tv;120.55.238.185;CN;AS;;;
