Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
time.com;192.0.79.33;US;NA;;;
pof.com;199.182.216.166;CA;NA;;;
4399.com;118.184.184.70;CN;AS;;;
eskimi.com;92.62.130.180;LT;EU;;;
lenovo.com;23.45.151.67;US;NA;;;
zone-telechargement.com;104.31.135.74;US;NA;;;
jimdo.com;62.116.130.8;DE;EU;;;
xe.com;23.3.152.175;NL;EU;;;
biglobe.ne.jp;49.129.31.76;JP;AS;2001:260:401:270::43;JP;AS
cisco.com;72.163.4.161;US;NA;2001:420:1101:1::a;US;NA
elfagr.org;104.27.161.160;US;NA;2400:cb00:2048:1::681b:a0a0;HK;AS
