Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
google.com.hk;172.217.19.131;US;NA;2a00:1450:4007:806::2003;IE;EU
blogger.com;216.58.211.105;US;NA;2a00:1450:4007:806::2009;IE;EU
whatsapp.com;184.173.147.39;US;NA;;;
google.com.tr;216.58.208.195;US;NA;2a00:1450:4007:805::2003;IE;EU
rakuten.co.jp;133.237.48.124;JP;AS;;;
craigslist.org;208.82.237.129;US;NA;;;
office.com;23.103.183.15;US;NA;;;
jd.com;111.206.227.118;CN;AS;;;
chinadaily.com.cn;124.127.180.200;CN;AS;;;
google.co.id;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
google.pl;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
tianya.cn;124.225.65.154;CN;AS;;;
pixnet.net;103.23.108.107;TW;AS;;;
alibaba.com;205.204.101.42;US;NA;;;
soso.com;106.120.151.169;CN;AS;;;
xhamster.com;88.208.18.30;NL;EU;2a02:b48:4000:d::1;UA;EU
go.com;199.181.131.249;US;NA;;;
dropbox.com;108.160.172.206;US;NA;;;
ask.com;66.235.120.127;US;NA;;;
google.com.au;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
google.com.tw;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
coccoc.com;123.30.175.29;VN;AS;;;
cntv.cn;202.108.8.82;CN;AS;;;
popads.net;216.21.13.12;US;NA;;;
wikia.com;104.156.81.194;US;NA;;;
360.com;222.73.144.157;CN;AS;;;
bbc.co.uk;212.58.244.22;GB;EU;;;
google.com.eg;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
flipkart.com;163.53.78.58;IN;AS;2001:df0:23e:9002::15;IN;AS
google.com.pk;193.51.224.177;FR;EU;2a00:1450:4007:805::2003;IE;EU
adobe.com;192.150.16.117;US;NA;;;
haosou.com;106.120.160.134;CN;AS;;;
bongacams.com;216.18.168.1;US;NA;;;
google.co.th;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
google.com.sa;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
adf.ly;104.20.0.4;US;NA;2400:cb00:2048:1::6814:104;HK;AS
google.com.ar;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
youku.com;123.126.99.31;CN;AS;;;
alipay.com;110.76.19.33;CN;AS;;;
google.nl;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
livedoor.jp;125.6.149.67;JP;AS;;;
espn.go.com;68.71.212.186;US;NA;;;
sogou.com;106.120.188.48;CN;AS;;;
china.com;223.223.182.210;CN;AS;;;
txxx.com;104.20.77.29;US;NA;;;
bbc.com;212.58.244.22;GB;EU;;;
ettoday.net;219.85.79.131;TW;AS;;;
bilibili.com;120.24.248.50;CN;AS;;;
dailymotion.com;195.8.215.136;FR;EU;;;
amazon.cn;54.222.60.218;CN;AS;;;
