Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
wittyfeed.com;104.16.123.108;US;NA;2400:cb00:2048:1::6810:7a6c;HK;AS
github.io;23.235.33.133;US;NA;;;
onedio.com;104.20.23.247;US;NA;2400:cb00:2048:1::6814:18f7;HK;AS
webtretho.com;123.30.128.195;VN;AS;;;
blastingnews.com;212.97.32.174;IT;EU;;;
t-online.de;62.153.159.92;DE;EU;2003:2:4:164:217:6:164:162;DE;EU
google.ch;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
blog.jp;125.6.146.13;JP;AS;;;
ozock.com;104.18.56.71;US;NA;;;
tokopedia.com;182.253.224.184;ID;AS;;;
softonic.com;46.28.209.20;ES;EU;;;
google.pt;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
wp.pl;212.77.98.9;PL;EU;;;
xcar.com.cn;124.251.98.4;CN;AS;;;
livejasmin.com;109.71.160.200;LU;EU;;;
imzog.com;104.25.24.99;US;NA;2400:cb00:2048:1::6819:1863;HK;AS
yesky.com;219.239.88.112;CN;AS;;;
eksisozluk.com;176.53.43.6;TR;AS;;;
rediff.com;23.200.87.140;FR;EU;;;
google.cl;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
shutterstock.com;162.212.41.11;US;NA;;;
xywy.com;119.28.48.239;CN;AS;;;
huanqiu.com;58.68.250.146;CN;AS;;;
ebay-kleinanzeigen.de;91.211.75.193;NL;EU;2a04:cb41:f016:4::11;NL;EU
speedtest.net;151.101.128.230;US;NA;2a04:4e42:600::230;;EU
chaturbate.com;104.16.108.24;US;NA;;;
google.cz;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
google.ae;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
trello.com;104.101.166.212;US;NA;;;
ltn.com.tw;218.211.33.75;TW;AS;;;
bitauto.com;59.151.116.98;CN;AS;;;
pandora.com;208.85.40.20;US;NA;2620:106:e003:f00e::63;US;NA
goodreads.com;72.21.202.239;US;NA;;;
2ch.net;104.20.30.112;US;NA;;;
hulu.com;23.3.148.75;NL;EU;;;
google.co.il;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
seznam.cz;77.75.79.53;CZ;EU;2a02:598:2::1039;CZ;EU
1688.com;140.205.174.2;CN;AS;;;
slickdeals.net;192.33.31.51;US;NA;;;
caijing.com.cn;124.243.192.30;CN;AS;;;
terraclicks.com;198.134.112.232;US;NA;;;
slack.com;54.230.196.80;US;NA;;;
bukalapak.com;182.253.238.102;ID;AS;;;
google.hu;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
weebly.com;74.115.50.109;US;NA;;;
pinimg.com;104.156.81.84;US;NA;;;
kompas.com;202.61.113.35;ID;AS;;;
wordpress.org;66.155.40.250;US;NA;;;
sourceforge.net;216.34.181.60;US;NA;;;
wordreference.com;148.251.23.152;DE;EU;;;
