Site name;Site IPv4;Country v4;Continent v4;Site IPv6;Country v6;Continent v6
mashable.com;23.200.86.121;FR;EU;;;
videomega.tv;104.20.24.90;US;NA;;;
siteadvisor.com;161.69.25.181;US;NA;;;
elpais.com;91.216.63.240;ES;EU;;;
playstation.com;209.200.152.198;US;NA;;;
discovercard.com;2.19.231.10;;EU;;;
gismeteo.ru;92.242.43.216;RU;EU;;;
conservativetribune.com;104.25.28.101;US;NA;2400:cb00:2048:1::6819:1b65;HK;AS
hatenablog.com;52.197.170.122;US;NA;;;
ci123.com;202.102.90.109;CN;AS;;;
usaa.com;104.93.248.186;US;NA;;;
thatviralfeed.com;104.16.10.104;US;NA;;;
zippyshare.com;37.187.134.184;FR;EU;;;
baike.com;124.243.228.203;CN;AS;;;
okezone.com;202.80.220.213;ID;AS;;;
google.com.vn;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
lifehacker.com;151.101.129.34;US;NA;;;
blackboard.com;69.196.244.99;US;NA;;;
bidverdrd.com;216.200.199.56;US;NA;;;
answers.com;67.196.156.65;US;NA;;;
bhaskar.com;184.51.148.153;NL;EU;;;
google.by;172.217.16.68;US;NA;2a00:1450:4007:805::2004;IE;EU
free.fr;212.27.48.10;FR;EU;2a01:e0c:1::1;FR;EU
abcnews.go.com;68.71.222.16;US;NA;;;
clickadu.com;206.54.181.6;US;NA;;;
subscene.com;104.24.7.4;US;NA;;;
beeg.com;213.174.158.154;US;NA;;;
hespress.com;104.20.11.85;US;NA;;;
mercadolibre.com.ar;209.225.49.78;AR;SA;;;
souq.com;72.52.8.197;US;NA;;;
17ok.com;119.254.11.66;CN;AS;;;
clipconverter.cc;5.135.203.40;FR;EU;;;
zing.vn;120.138.69.70;VN;AS;;;
mi.com;120.134.33.10;CN;AS;;;
theverge.com;151.101.65.52;US;NA;;;
uefa.com;194.158.2.5;CH;EU;;;
merdeka.com;103.6.0.2;ID;AS;;;
hotels.com;216.251.127.130;US;NA;;;
albawabhnews.com;104.28.27.209;US;NA;2400:cb00:2048:1::681c:1bd1;HK;AS
behance.net;74.205.63.94;US;NA;;;
surveymonkey.com;75.98.93.51;US;NA;;;
rdsa2012.com;173.192.117.80;US;NA;;;
google.bg;172.217.19.131;US;NA;2a00:1450:4007:805::2003;IE;EU
trulia.com;198.176.43.184;US;NA;;;
mobile.de;194.50.69.124;DE;EU;2a04:cb41:f016:1::46;NL;EU
google.kz;172.217.19.132;US;NA;2a00:1450:4007:805::2004;IE;EU
rbc.ru;185.72.231.14;RU;EU;;;
dictionary.com;66.235.121.141;US;NA;;;
aparat.com;46.224.3.195;IR;AS;;;
seesaa.net;59.106.98.139;JP;AS;;;
