mesurement id;target of traceroute;hops number from LISP-Lab;hops number from mPlane;hops number from FranceIX;hops number from rmd
2841001;31.13.76.102;7;9;10;13
2841003;173.194.65.190;7;13;10;14
2841005;180.149.132.47;7;17;24;19
2841007;98.139.183.24;7;15;12;17
2841009;205.251.242.54;7;14;14;23
2841011;91.198.174.192;7;11;6;14
2841013;125.39.240.113;7;20;15;19
2841015;199.16.156.6;7;7;4;11
2841017;110.75.115.70;7;20;25;20
2841019;65.55.206.154;7;14;17;17
2841021;202.108.33.60;7;21;16;20
2841023;199.101.163.129;7;11;15;15
2841025;183.79.135.206;7;12;20;14
2841027;114.134.80.162;7;15;15;21
2841029;66.211.160.87;7;9;15;14
2841031;5.255.255.55;7;11;10;16
2841033;180.149.131.31;7;16;22;18
2841035;87.240.131.117;7;9;8;13
2841037;204.79.197.200;7;8;8;10
2841039;52.2.166.221;7;14;14;19
2841041;199.16.156.75;7;7;4;11
2841043;23.101.196.141;7;22;25;23
2841045;54.240.252.0;7;16;22;24
2841047;104.156.81.84;7;7;7;11
2841049;198.11.132.43;7;10;14;14
2841051;66.235.120.127;7;7;11;11
2841053;110.75.114.89;7;20;25;21
2841055;173.194.65.191;7;13;10;15
2841057;192.0.78.17;7;10;6;12
2841059;198.41.208.143;7;10;6;11
2841061;17.172.224.47;7;14;17;21
2841063;66.211.169.3;7;15;19;19
2841065;78.140.191.90;7;6;8;10
2841067;94.100.180.200;7;11;8;14
2841069;66.6.41.30;7;9;10;13
2841071;123.125.116.19;7;17;12;20
2841074;134.170.185.46;7;21;25;23
2841076;185.31.19.193;7;7;7;11
2841078;141.0.174.44;7;11;8;13
2841080;207.171.166.22;7;14;14;23
2841082;54.204.43.31;7;18;18;19
2841084;111.202.12.1;7;24;19;27
2841086;50.18.211.49;7;15;18;23
2841088;178.236.7.219;7;13;17;21
2841090;106.120.167.66;7;15;19;17
2841092;198.11.132.23;7;10;17;14
2841094;199.181.131.249;7;7;8;11
2841096;198.252.206.16;7;14;9;13
2841098;217.20.147.94;7;10;6;16
2841100;208.82.238.129;7;6;15;10
