mesurement id;Destination;avg(min RTT) from LISP-Lab;avg(min RTT) from mPlane;avg(min RTT) from FranceIX;avg(min RTT) from rmd;variance from LISP-Lab;variance from mPlane;variance from FranceIX;variance from rmd
2841000;31.13.76.102;158.58;144.5;129.51;158.14;27.19;2.88;2.3;2.43
2841002;74.125.136.190;32.17;16.83;13.57;16.52;3.24;1.59;0.13;0.37
2841004;180.149.132.47;253.04;412.05;296.83;250.13;61.95;26.12;25.67;22.44
2841006;98.139.183.24;140.67;87.84;120.19;99.13;47.5;4.62;40.75;21.85
2841008;205.251.242.54;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841010;91.198.174.192;27.84;16.05;12.69;20.82;5.45;2.47;0.14;0.2
2841012;125.39.240.113;352.71;347.22;393.95;420.54;27.59;32.91;46.84;27.2
2841014;199.16.156.198;100.84;93.4;90.53;108.76;25.0;2.57;0.07;2.35
2841016;110.75.115.70;384.3;418.72;362.15;310.38;67.92;108.65;64.21;80.75
2841018;65.55.206.154;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841020;202.108.33.60;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841022;199.101.163.129;164.99;154.75;167.3;161.57;28.36;3.02;0.11;3.65
2841024;183.79.135.206;281.25;259.6;267.24;278.32;5.26;4.51;0.11;8.32
2841026;114.134.80.162;260.38;263.72;261.26;306.43;44.31;6.21;5.26;5.49
2841028;66.211.160.87;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841030;5.255.255.55;61.19;60.89;57.67;62.16;10.74;2.17;0.29;3.36
2841032;180.149.131.31;311.85;352.77;298.21;209.28;43.25;45.65;33.39;24.55
2841034;87.240.131.120;56.88;53.02;57.25;53.41;9.86;2.95;0.14;5.11
2841036;204.79.197.200;31.26;3.21;9.97;2.17;5.96;2.98;0.17;0.23
2841038;52.2.166.221;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841040;199.16.156.11;102.39;94.76;92.38;108.97;17.54;3.57;0.09;0.92
2841042;23.101.196.141;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841044;54.240.250.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841046;23.235.37.84;22.96;9.38;9.7;9.67;3.89;2.33;0.12;0.67
2841048;198.11.132.43;163.33;160.32;149.53;156.79;39.99;2.76;0.14;0.49
2841050;66.235.120.127;93.11;80.11;84.67;82.38;16.1;2.28;0.66;0.86
2841052;110.75.114.89;336.12;467.91;404.96;313.42;82.41;91.93;27.58;80.5
2841054;74.125.136.191;31.28;17.96;13.62;16.32;6.25;2.83;0.15;0.46
2841056;192.0.78.17;23.27;12.18;10.25;12.78;5.53;2.75;0.15;0.17
2841058;198.41.209.143;19.03;11.43;9.79;9.47;6.17;1.86;0.12;1.81
2841060;17.172.224.47;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841062;66.211.169.3;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841064;78.140.191.90;28.43;19.33;14.18;16.27;7.75;2.85;0.15;0.94
2841066;94.100.180.200;67.52;60.65;55.73;62.12;7.3;3.48;0.15;1.66
2841068;66.6.41.30;133.09;85.75;108.36;82.78;63.46;2.92;39.9;0.9
2841070;123.125.116.19;246.59;336.67;393.34;382.96;42.77;7.3;40.52;16.13
2841072;134.170.185.46;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841075;185.31.18.193;27.18;9.13;9.98;9.28;5.33;1.86;0.09;0.3
2841077;141.0.174.44;28.79;13.66;11.11;15.96;10.18;2.88;2.94;4.48
2841079;207.171.166.22;106.02;177.42;-1.0;91.81;7.18;3.02;0.0;3.75
2841081;54.204.43.31;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841083;111.202.12.1;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841085;54.149.140.74;175.74;152.14;169.7;172.87;31.09;1.84;0.21;5.25
2841087;178.236.7.219;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841089;106.120.167.66;313.64;392.52;374.43;225.74;63.5;43.28;29.81;38.98
2841091;198.11.132.23;165.82;159.81;153.44;157.13;40.61;2.42;0.1;1.42
2841093;199.181.131.249;155.84;138.27;152.21;144.36;4.32;2.52;0.12;0.19
2841095;198.252.206.16;84.47;87.21;72.89;77.86;15.19;1.39;0.1;4.91
2841097;217.20.147.94;72.97;56.71;52.85;73.21;4.2;2.69;0.14;26.07
2841099;208.82.238.129;166.1;157.01;150.32;153.63;3.12;2.58;0.14;0.19
