mesurement id;Destination;avg(avg RTT) from rmd;avg(avg RTT) from mPlane;avg(avg RTT) from FranceIX;avg(avg RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab
2841000;31.13.76.102;158.42;147.61;131.16;161.01;2.41;8.32;8.54;27.71
2841002;74.125.136.190;16.79;18.33;13.65;35.31;0.37;2.46;0.13;13.24
2841004;180.149.132.47;252.14;419.09;304.15;258.39;22.79;24.99;26.57;63.04
2841006;98.139.183.24;100.77;89.69;121.26;145.08;22.35;4.46;41.5;49.6
2841010;91.198.174.192;21.17;18.35;12.88;30.22;0.4;3.45;0.31;6.59
2841012;125.39.240.113;422.33;352.87;399.8;356.1;27.58;36.53;48.72;28.64
2841014;199.16.156.198;109.08;95.05;90.61;101.93;2.32;2.95;0.05;25.13
2841016;110.75.115.70;313.45;422.81;366.76;388.44;80.63;108.97;64.85;68.45
2841022;199.101.163.129;161.8;156.56;167.42;168.97;3.63;3.4;0.13;29.24
2841024;183.79.135.206;282.25;262.52;267.37;285.91;7.89;4.97;0.1;5.69
2841026;114.134.80.162;307.48;265.45;262.59;264.41;6.09;5.88;5.54;44.99
2841030;5.255.255.55;62.6;62.45;57.86;62.97;3.47;2.86;0.54;11.13
2841032;180.149.131.31;212.9;358.05;311.27;318.74;23.44;46.52;34.97;44.61
2841034;87.240.131.120;53.71;54.56;57.4;59.0;5.12;3.08;0.13;10.42
2841036;204.79.197.200;2.47;5.37;10.31;32.94;0.24;3.67;0.94;6.49
2841040;199.16.156.11;109.53;96.36;92.47;103.59;0.84;4.08;0.09;17.66
2841046;23.235.37.84;10.26;10.64;9.88;27.92;1.29;2.76;0.18;6.93
2841048;198.11.132.43;157.05;162.43;149.68;165.36;0.45;3.37;0.1;40.36
2841050;66.235.120.127;82.75;81.71;86.71;94.78;0.96;3.0;7.72;16.42
2841052;110.75.114.89;314.87;477.6;410.82;339.67;80.68;94.22;25.17;83.11
2841054;74.125.136.191;16.6;20.06;13.69;32.21;0.49;2.97;0.15;6.66
2841056;192.0.78.17;13.11;14.07;10.46;28.42;0.39;2.96;0.46;8.75
2841058;198.41.209.143;10.02;12.52;9.97;21.32;2.19;2.64;0.16;7.08
2841064;78.140.191.90;18.12;21.23;14.34;32.16;4.74;3.44;0.13;9.28
2841066;94.100.180.200;62.49;62.32;56.6;71.9;1.67;3.59;4.22;8.8
2841068;66.6.41.30;83.67;86.97;109.06;135.72;3.87;3.67;40.59;66.33
2841070;123.125.116.19;386.84;339.9;400.19;248.21;16.15;5.26;40.93;42.97
2841075;185.31.18.193;9.66;10.65;10.1;29.01;0.53;2.62;0.09;5.7
2841077;141.0.174.44;16.76;15.35;11.36;35.15;4.76;3.55;2.77;15.48
2841085;54.149.140.74;176.3;153.54;169.92;182.47;4.89;2.5;0.38;33.04
2841089;106.120.167.66;242.38;401.92;377.96;329.26;40.3;40.59;30.16;61.65
2841091;198.11.132.23;157.44;161.45;153.56;168.61;1.45;3.02;0.09;41.19
2841093;199.181.131.249;144.63;139.95;152.44;159.05;0.16;2.84;0.19;6.71
2841095;198.252.206.16;78.37;89.02;73.0;86.43;4.89;2.18;0.08;16.3
2841097;217.20.147.94;74.45;58.2;52.99;75.12;26.75;3.01;0.09;6.44
2841099;208.82.238.129;154.49;158.47;150.88;167.9;3.57;3.26;2.6;4.07
