mesurement id;Destination;avg(avg RTT) from LISP-Lab;avg(avg RTT) from mPlane;avg(avg RTT) from FranceIX;avg(avg RTT) from rmd;variance from LISP-Lab;variance from mPlane;variance from FranceIX;variance from rmd
2841000;31.13.76.102;164.41;152.52;134.25;158.67;29.09;22.31;24.7;2.44
2841002;74.125.136.190;38.54;20.23;13.74;17.07;25.86;4.22;0.14;0.43
2841004;180.149.132.47;263.83;426.09;310.82;254.11;64.72;25.69;32.08;23.3
2841006;98.139.183.24;149.99;91.79;122.41;102.75;52.18;5.18;42.08;23.12
2841010;91.198.174.192;32.68;20.81;13.11;21.62;8.57;5.38;0.83;1.0
2841012;125.39.240.113;359.51;358.39;405.05;424.03;29.75;39.82;51.27;28.11
2841014;199.16.156.198;103.42;96.81;90.69;109.4;25.83;4.2;0.06;2.31
2841016;110.75.115.70;393.71;427.56;371.65;316.43;70.02;110.0;66.73;81.55
2841022;199.101.163.129;174.55;158.52;167.58;162.11;31.72;4.36;0.3;3.65
2841024;183.79.135.206;292.02;265.51;267.51;287.35;9.27;7.19;0.13;15.53
2841026;114.134.80.162;269.47;267.48;263.71;308.64;46.34;6.19;5.82;6.99
2841030;5.255.255.55;65.2;64.36;58.1;63.14;11.93;4.95;0.88;3.79
2841032;180.149.131.31;325.87;364.56;325.07;216.8;46.05;49.23;43.3;22.85
2841034;87.240.131.120;62.1;56.71;57.57;54.02;12.3;4.22;0.21;5.14
2841036;204.79.197.200;35.0;7.76;10.67;2.8;7.69;5.43;1.92;0.35
2841040;199.16.156.11;105.18;98.5;92.57;110.17;18.31;5.96;0.13;0.87
2841046;23.235.37.84;33.93;12.17;10.11;11.02;15.0;3.72;0.44;2.38
2841048;198.11.132.43;167.41;165.25;149.83;157.38;41.08;6.39;0.12;0.51
2841050;66.235.120.127;96.83;83.86;90.03;83.11;17.17;5.76;22.69;1.14
2841052;110.75.114.89;344.31;487.89;416.81;316.31;84.63;97.52;24.2;81.26
2841054;74.125.136.191;33.44;22.6;13.76;16.9;7.57;4.39;0.16;0.54
2841056;192.0.78.17;34.93;15.74;10.71;13.5;13.72;3.65;0.83;0.85
2841058;198.41.209.143;24.46;13.91;10.18;10.75;9.62;4.3;0.33;2.92
2841064;78.140.191.90;36.7;23.17;14.48;21.1;12.67;4.77;0.15;13.7
2841066;94.100.180.200;76.89;64.36;58.16;62.95;12.12;4.48;12.57;1.94
2841068;66.6.41.30;138.98;88.19;109.99;85.21;70.27;4.58;41.33;11.03
2841070;123.125.116.19;250.24;343.13;406.35;390.39;43.47;4.38;43.5;16.76
2841075;185.31.18.193;31.5;12.5;10.23;10.08;6.83;4.05;0.14;0.88
2841077;141.0.174.44;42.96;17.27;11.58;17.59;21.27;4.88;2.88;5.33
2841085;54.149.140.74;189.99;155.63;170.14;179.79;36.36;4.44;0.56;5.63
2841089;106.120.167.66;345.04;409.14;380.98;257.58;62.73;39.42;30.96;46.04
2841091;198.11.132.23;171.84;163.13;153.68;157.78;42.24;4.31;0.13;1.71
2841093;199.181.131.249;163.35;141.89;152.68;144.92;11.18;3.84;0.35;0.25
2841095;198.252.206.16;88.3;90.71;73.11;79.11;17.52;3.26;0.13;5.37
2841097;217.20.147.94;78.0;60.02;53.12;75.86;14.33;4.19;0.11;27.36
2841099;208.82.238.129;170.25;160.37;151.9;155.99;5.37;4.85;7.72;10.75
