mesurement id;Destination;avg(max RTT) from rmd;avg(max RTT) from mPlane;avg(max RTT) from FranceIX;avg(max RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab
2841000;31.13.76.102;158.67;152.52;134.25;164.41;2.44;22.31;24.7;29.09
2841002;74.125.136.190;17.07;20.23;13.74;38.54;0.43;4.22;0.14;25.86
2841004;180.149.132.47;254.11;426.09;310.82;263.83;23.3;25.69;32.08;64.72
2841006;98.139.183.24;102.75;91.79;122.41;149.99;23.12;5.18;42.08;52.18
2841010;91.198.174.192;21.62;20.81;13.11;32.68;1.0;5.38;0.83;8.57
2841012;125.39.240.113;424.03;358.39;405.05;359.51;28.11;39.82;51.27;29.75
2841014;199.16.156.198;109.4;96.81;90.69;103.42;2.31;4.2;0.06;25.83
2841016;110.75.115.70;316.43;427.56;371.65;393.71;81.55;110.0;66.73;70.02
2841022;199.101.163.129;162.11;158.52;167.58;174.55;3.65;4.36;0.3;31.72
2841024;183.79.135.206;287.35;265.51;267.51;292.02;15.53;7.19;0.13;9.27
2841026;114.134.80.162;308.64;267.48;263.71;269.47;6.99;6.19;5.82;46.34
2841030;5.255.255.55;63.14;64.36;58.1;65.2;3.79;4.95;0.88;11.93
2841032;180.149.131.31;216.8;364.56;325.07;325.87;22.85;49.23;43.3;46.05
2841034;87.240.131.120;54.02;56.71;57.57;62.1;5.14;4.22;0.21;12.3
2841036;204.79.197.200;2.8;7.76;10.67;35.0;0.35;5.43;1.92;7.69
2841040;199.16.156.11;110.17;98.5;92.57;105.18;0.87;5.96;0.13;18.31
2841046;23.235.37.84;11.02;12.17;10.11;33.93;2.38;3.72;0.44;15.0
2841048;198.11.132.43;157.38;165.25;149.83;167.41;0.51;6.39;0.12;41.08
2841050;66.235.120.127;83.11;83.86;90.03;96.83;1.14;5.76;22.69;17.17
2841052;110.75.114.89;316.31;487.89;416.81;344.31;81.26;97.52;24.2;84.63
2841054;74.125.136.191;16.9;22.6;13.76;33.44;0.54;4.39;0.16;7.57
2841056;192.0.78.17;13.5;15.74;10.71;34.93;0.85;3.65;0.83;13.72
2841058;198.41.209.143;10.75;13.91;10.18;24.46;2.92;4.3;0.33;9.62
2841064;78.140.191.90;21.1;23.17;14.48;36.7;13.7;4.77;0.15;12.67
2841066;94.100.180.200;62.95;64.36;58.16;76.89;1.94;4.48;12.57;12.12
2841068;66.6.41.30;85.21;88.19;109.99;138.98;11.03;4.58;41.33;70.27
2841070;123.125.116.19;390.39;343.13;406.35;250.24;16.76;4.38;43.5;43.47
2841075;185.31.18.193;10.08;12.5;10.23;31.5;0.88;4.05;0.14;6.83
2841077;141.0.174.44;17.59;17.27;11.58;42.96;5.33;4.88;2.88;21.27
2841085;54.149.140.74;179.79;155.63;170.14;189.99;5.63;4.44;0.56;36.36
2841089;106.120.167.66;257.58;409.14;380.98;345.04;46.04;39.42;30.96;62.73
2841091;198.11.132.23;157.78;163.13;153.68;171.84;1.71;4.31;0.13;42.24
2841093;199.181.131.249;144.92;141.89;152.68;163.35;0.25;3.84;0.35;11.18
2841095;198.252.206.16;79.11;90.71;73.11;88.3;5.37;3.26;0.13;17.52
2841097;217.20.147.94;75.86;60.02;53.12;78.0;27.36;4.19;0.11;14.33
2841099;208.82.238.129;155.99;160.37;151.9;170.25;10.75;4.85;7.72;5.37
