mesurement id;Destination;avg(avg RTT) from LISP-Lab;avg(avg RTT) from mPlane;avg(avg RTT) from FranceIX;avg(avg RTT) from rmd;variance from LISP-Lab;variance from mPlane;variance from FranceIX;variance from rmd
2841000;31.13.76.102;158.61;144.5;129.51;158.14;27.02;2.88;2.3;2.43
2841002;74.125.136.190;32.17;16.83;13.57;16.52;3.24;1.59;0.13;0.37
2841004;180.149.132.47;253.1;412.05;296.83;250.13;61.72;26.12;25.67;22.44
2841006;98.139.183.24;140.69;87.84;120.19;99.13;47.41;4.62;40.75;21.85
2841010;91.198.174.192;27.87;16.05;12.69;20.82;5.3;2.47;0.14;0.2
2841012;125.39.240.113;352.71;347.22;393.95;420.54;27.59;32.91;46.84;27.2
2841014;199.16.156.198;100.9;93.4;90.53;108.76;24.77;2.57;0.07;2.35
2841016;110.75.115.70;384.32;418.77;362.18;310.44;67.76;108.44;64.05;80.53
2841022;199.101.163.129;165.02;154.75;167.3;161.57;28.2;3.02;0.11;3.65
2841024;183.79.135.206;281.25;259.6;267.24;278.32;5.26;4.51;0.11;8.32
2841026;114.134.80.162;260.4;263.72;261.26;306.43;44.15;6.21;5.26;5.49
2841030;5.255.255.55;61.22;60.89;57.67;62.16;10.58;2.17;0.29;3.36
2841032;180.149.131.31;311.85;352.77;298.21;209.28;43.25;45.65;33.39;24.55
2841034;87.240.131.120;56.9;53.02;57.25;53.41;9.7;2.95;0.14;5.11
2841036;204.79.197.200;31.29;3.21;9.97;2.17;5.81;2.98;0.17;0.23
2841040;199.16.156.11;102.42;94.76;92.38;108.97;17.37;3.57;0.09;0.92
2841046;23.235.37.84;22.96;9.38;9.7;9.67;3.89;2.33;0.12;0.67
2841048;198.11.132.43;163.38;160.32;149.53;156.79;39.77;2.76;0.14;0.49
2841050;66.235.120.127;93.14;80.11;84.67;82.38;15.94;2.28;0.66;0.86
2841052;110.75.114.89;336.18;467.94;404.96;313.48;82.18;91.79;27.58;80.27
2841054;74.125.136.191;31.31;17.96;13.62;16.32;6.11;2.83;0.15;0.46
2841056;192.0.78.17;23.3;12.18;10.25;12.78;5.41;2.75;0.15;0.17
2841058;198.41.209.143;19.08;11.43;9.79;9.47;5.99;1.86;0.12;1.81
2841064;78.140.191.90;28.48;19.33;14.18;16.27;7.54;2.85;0.15;0.94
2841066;94.100.180.200;67.52;60.65;55.73;62.12;7.3;3.48;0.15;1.66
2841068;66.6.41.30;133.09;85.75;108.36;82.78;63.46;2.92;39.9;0.9
2841070;123.125.116.19;246.62;336.67;393.34;382.96;42.61;7.3;40.52;16.13
2841075;185.31.18.193;27.21;9.13;9.98;9.28;5.18;1.86;0.09;0.3
2841077;141.0.174.44;28.82;13.69;11.17;15.99;10.1;2.74;2.71;4.37
2841085;54.149.140.74;175.77;152.14;169.7;172.87;30.94;1.84;0.21;5.25
2841089;106.120.167.66;313.67;392.52;374.43;225.74;63.36;43.28;29.81;38.98
2841091;198.11.132.23;165.88;159.81;153.44;157.13;40.38;2.42;0.1;1.42
2841093;199.181.131.249;155.84;138.27;152.21;144.36;4.32;2.52;0.12;0.19
2841095;198.252.206.16;84.5;87.21;72.89;77.86;15.03;1.39;0.1;4.91
2841097;217.20.147.94;72.97;56.71;52.85;73.21;4.2;2.69;0.14;26.07
2841099;208.82.238.129;166.1;157.01;150.32;153.63;3.12;2.58;0.14;0.19
