mesurement id;Destination;avg(min RTT) from rmd;avg(min RTT) from mPlane;avg(min RTT) from FranceIX;avg(min RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab
2841000;31.13.76.102;158.14;144.5;129.51;158.61;2.43;2.88;2.3;27.02
2841002;74.125.136.190;16.52;16.83;13.57;32.17;0.37;1.59;0.13;3.24
2841004;180.149.132.47;250.13;412.05;296.83;253.1;22.44;26.12;25.67;61.72
2841006;98.139.183.24;99.13;87.84;120.19;140.69;21.85;4.62;40.75;47.41
2841010;91.198.174.192;20.82;16.05;12.69;27.87;0.2;2.47;0.14;5.3
2841012;125.39.240.113;420.54;347.22;393.95;352.71;27.2;32.91;46.84;27.59
2841014;199.16.156.198;108.76;93.4;90.53;100.9;2.35;2.57;0.07;24.77
2841016;110.75.115.70;310.44;418.77;362.18;384.32;80.53;108.44;64.05;67.76
2841022;199.101.163.129;161.57;154.75;167.3;165.02;3.65;3.02;0.11;28.2
2841024;183.79.135.206;278.32;259.6;267.24;281.25;8.32;4.51;0.11;5.26
2841026;114.134.80.162;306.43;263.72;261.26;260.4;5.49;6.21;5.26;44.15
2841030;5.255.255.55;62.16;60.89;57.67;61.22;3.36;2.17;0.29;10.58
2841032;180.149.131.31;209.28;352.77;298.21;311.85;24.55;45.65;33.39;43.25
2841034;87.240.131.120;53.41;53.02;57.25;56.9;5.11;2.95;0.14;9.7
2841036;204.79.197.200;2.17;3.21;9.97;31.29;0.23;2.98;0.17;5.81
2841040;199.16.156.11;108.97;94.76;92.38;102.42;0.92;3.57;0.09;17.37
2841046;23.235.37.84;9.67;9.38;9.7;22.96;0.67;2.33;0.12;3.89
2841048;198.11.132.43;156.79;160.32;149.53;163.38;0.49;2.76;0.14;39.77
2841050;66.235.120.127;82.38;80.11;84.67;93.14;0.86;2.28;0.66;15.94
2841052;110.75.114.89;313.48;467.94;404.96;336.18;80.27;91.79;27.58;82.18
2841054;74.125.136.191;16.32;17.96;13.62;31.31;0.46;2.83;0.15;6.11
2841056;192.0.78.17;12.78;12.18;10.25;23.3;0.17;2.75;0.15;5.41
2841058;198.41.209.143;9.47;11.43;9.79;19.08;1.81;1.86;0.12;5.99
2841064;78.140.191.90;16.27;19.33;14.18;28.48;0.94;2.85;0.15;7.54
2841066;94.100.180.200;62.12;60.65;55.73;67.52;1.66;3.48;0.15;7.3
2841068;66.6.41.30;82.78;85.75;108.36;133.09;0.9;2.92;39.9;63.46
2841070;123.125.116.19;382.96;336.67;393.34;246.62;16.13;7.3;40.52;42.61
2841075;185.31.18.193;9.28;9.13;9.98;27.21;0.3;1.86;0.09;5.18
2841077;141.0.174.44;15.99;13.69;11.17;28.82;4.37;2.74;2.71;10.1
2841085;54.149.140.74;172.87;152.14;169.7;175.77;5.25;1.84;0.21;30.94
2841089;106.120.167.66;225.74;392.52;374.43;313.67;38.98;43.28;29.81;63.36
2841091;198.11.132.23;157.13;159.81;153.44;165.88;1.42;2.42;0.1;40.38
2841093;199.181.131.249;144.36;138.27;152.21;155.84;0.19;2.52;0.12;4.32
2841095;198.252.206.16;77.86;87.21;72.89;84.5;4.91;1.39;0.1;15.03
2841097;217.20.147.94;73.21;56.71;52.85;72.97;26.07;2.69;0.14;4.2
2841099;208.82.238.129;153.63;157.01;150.32;166.1;0.19;2.58;0.14;3.12
