mesurement id;Destination;avg(min RTT) from rmd;avg(min RTT) from mPlane;avg(min RTT) from FranceIX;avg(min RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab
2841000;31.13.76.102;157.25;143.32;129.13;161.96;2.43;2.88;2.3;27.02
2841002;74.125.136.190;16.56;16.08;13.54;31.06;0.37;1.59;0.13;3.24
2841004;180.149.132.47;242.23;407.56;292.39;264.28;22.44;26.12;25.67;61.72
2841006;98.139.183.24;92.42;84.98;109.97;131.3;21.85;4.62;40.75;47.41
2841010;91.198.174.192;20.78;14.85;12.67;27.63;0.2;2.47;0.14;5.3
2841012;125.39.240.113;409.03;344.34;375.2;346.72;27.2;32.91;46.84;27.59
2841014;199.16.156.198;107.86;93.4;90.53;105.68;2.35;2.57;0.07;24.77
2841016;110.75.115.70;309.62;454.84;373.27;384.64;80.53;108.44;64.05;67.76
2841022;199.101.163.129;162.82;152.98;167.27;168.38;3.65;3.02;0.11;28.2
2841024;183.79.135.206;276.59;257.31;267.23;278.45;8.32;4.51;0.11;5.26
2841026;114.134.80.162;303.82;260.47;258.47;266.8;5.49;6.21;5.26;44.15
2841030;5.255.255.55;61.61;59.5;57.57;61.93;3.36;2.17;0.29;10.58
2841032;180.149.131.31;200.57;349.82;289.51;301.27;24.55;45.65;33.39;43.25
2841034;87.240.131.120;52.73;51.25;57.24;58.03;5.11;2.95;0.14;9.7
2841036;204.79.197.200;2.16;1.7;9.94;30.9;0.23;2.98;0.17;5.81
2841040;199.16.156.11;109.0;93.02;92.37;104.45;0.92;3.57;0.09;17.37
2841046;23.235.37.84;9.48;8.5;9.68;21.37;0.67;2.33;0.12;3.89
2841048;198.11.132.43;156.89;158.44;149.55;171.91;0.49;2.76;0.14;39.77
2841050;66.235.120.127;82.55;78.94;84.33;94.8;0.86;2.28;0.66;15.94
2841052;110.75.114.89;323.44;488.37;399.86;357.19;80.27;91.79;27.58;82.18
2841054;74.125.136.191;16.45;16.45;13.58;31.31;0.46;2.83;0.15;6.11
2841056;192.0.78.17;12.74;10.67;10.21;22.25;0.17;2.75;0.15;5.41
2841058;198.41.209.143;8.89;10.59;9.75;18.82;1.81;1.86;0.12;5.99
2841064;78.140.191.90;16.13;17.75;14.16;29.0;0.94;2.85;0.15;7.54
2841066;94.100.180.200;61.55;58.62;55.73;65.03;1.66;3.48;0.15;7.3
2841068;66.6.41.30;82.93;84.32;91.95;105.92;0.9;2.92;39.9;63.46
2841070;123.125.116.19;386.58;338.94;379.73;251.13;16.13;7.3;40.52;42.61
2841075;185.31.18.193;9.2;8.28;9.95;27.31;0.3;1.86;0.09;5.18
2841077;141.0.174.44;15.9;13.34;11.8;25.61;4.37;2.74;2.71;10.1
2841085;54.149.140.74;170.52;152.1;169.71;177.61;5.25;1.84;0.21;30.94
2841089;106.120.167.66;201.35;407.12;370.89;329.34;38.98;43.28;29.81;63.36
2841091;198.11.132.23;157.58;158.65;153.43;174.38;1.42;2.42;0.1;40.38
2841093;199.181.131.249;144.34;136.97;152.19;154.11;0.19;2.52;0.12;4.32
2841095;198.252.206.16;76.11;86.68;72.89;85.19;4.91;1.39;0.1;15.03
2841097;217.20.147.94;62.78;55.43;52.86;71.54;26.07;2.69;0.14;4.2
2841099;208.82.238.129;153.62;155.72;150.3;164.96;0.19;2.58;0.14;3.12
