mesurement id;Destination;hop numbers from mPlane;hop numbers from FranceIX;hop numbers from LISP-Lab;Country;Continent
5277727;2a02:6b8::224;11;7;11;RU;EU
5277570;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277606;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277612;2400:cb00:2048:1::6810:35a2;9;5;9;HK;AS
5277701;2a00:1450:4007:805::2004;15;7;15;IE;EU
5277705;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277660;2400:cb00:2048:1::6814:4a6a;9;5;9;HK;AS
5277534;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277554;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277717;2a00:1450:4007:80c::2009;15;7;15;IE;EU
5277669;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277524;2a02:26f0:b2:198::d80;12;9;12;;EU
5277689;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277729;2400:cb00:2048:1::681b:d61e;9;5;9;HK;AS
5277551;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277662;2a02:6b8::2:105;14;8;14;RU;EU
5277498;2620:109:c002::6cae:a0a;19;9;19;US;NA
5277640;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277675;2400:cb00:2048:1::6814:44cc;9;5;9;HK;AS
5277620;2620:0:862:ed1a::1;13;7;32;US;NA
5277510;2a00:1148:db00:0:b0b0::1;16;8;15;RU;EU
5277504;2a00:1450:4007:807::2003;15;7;15;IE;EU
5277725;2400:cb00:2048:1::6814:3338;9;5;9;HK;AS
5277602;2a00:1450:4007:808::2009;15;7;15;IE;EU
5277634;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277516;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277595;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277536;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277711;2400:cb00:2048:1::6814:4298;9;5;9;HK;AS
5277582;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277667;2400:cb00:2048:1::6819:af1b;9;5;9;HK;AS
5277671;2400:cb00:2048:1::6810:a632;9;5;9;HK;AS
5277502;2a02:6b8:a::a;13;7;13;RU;EU
5277626;2003:2:4:164:217:6:164:162;12;9;12;DE;EU
5277622;2400:cb00:2048:1::6810:7a6c;9;5;9;HK;AS
5277685;2400:cb00:2048:1::6814:372b;9;5;9;HK;AS
5277731;2001:260:401:270::43;26;19;26;JP;AS
5277544;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277520;2a00:1450:4007:805::2009;15;7;15;IE;EU
5277681;2400:cb00:2048:1::6814:3fcb;9;5;9;HK;AS
5277687;2400:cb00:2048:1::6819:1b65;9;5;9;HK;AS
5277610;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277646;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277636;2a04:cb41:f016:4::11;14;10;14;NL;EU
5277691;2a00:1450:4007:805::2004;15;7;15;IE;EU
5277512;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277673;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277492;2620:0:862:ed1a::1;13;7;32;US;NA
5277733;2001:420:1101:1::a;18;15;18;US;NA
5277693;2a01:e0c:1::1;10;8;10;FR;EU
5277549;2001:df0:23e:9002::15;32;32;31;IN;AS
5277699;2a04:cb41:f016:1::46;14;10;14;NL;EU
5277614;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277664;2a00:1450:4007:805::2004;15;7;15;IE;EU
5277506;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277585;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277542;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277562;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277572;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277592;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277632;2400:cb00:2048:1::6819:1863;9;5;9;HK;AS
5277628;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277707;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277624;2400:cb00:2048:1::6814:18f7;9;5;9;HK;AS
5277638;2a04:4e42:600::230;14;8;14;;EU
5277642;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277578;2400:cb00:2048:1::681b:671;9;5;9;HK;AS
5277576;2804:49c:3103:401:ffff:ffff:ffff:1;21;15;21;BR;SA
5277644;2620:106:e003:f00e::63;18;9;18;US;NA
5277590;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277656;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277616;2a00:1450:400c:c02::a0;23;17;23;IE;EU
5277518;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277538;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277652;2400:cb00:2048:1::6814:5e79;9;5;9;HK;AS
5277484;2a00:1450:4007:806::2004;15;7;15;IE;EU
5277490;2001:4998:44:204::a7;20;14;31;US;NA
5277650;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277568;2a00:1450:4007:805::2003;15;7;15;IE;EU
5277604;2400:cb00:2048:1::6810:56ca;9;5;9;HK;AS
5277618;2a00:1450:4007:805::2003;15;7;15;IE;EU
