mesurement id;Destination;median(avg RTT) from Gandi;median(avg RTT) from mPlane;median(avg RTT) from FranceIX;median(avg RTT) from LIP6;median(avg RTT) from LISP-Lab;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LIP6;variance from LISP-Lab;Country;Continent
6964363;140.205.250.54;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6964359;146.197.184.71;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964284;216.58.211.105;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964166;38.102.136.104;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963627;193.51.224.177;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FR;EU
6963571;216.58.211.105;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963595;205.204.101.42;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963858;96.114.14.140;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964092;205.203.140.1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964154;208.94.153.100;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963945;140.205.174.2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6963553;52.41.146.181;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964403;209.95.39.162;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963842;63.240.4.179;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964018;52.76.232.196;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964056;80.168.92.141;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;GB;EU
6963665;195.8.215.136;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FR;EU
6964236;120.138.69.70;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;VN;AS
6964320;140.205.230.48;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6963903;219.239.88.112;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6964004;69.171.230.5;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963790;173.252.120.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964371;46.209.99.210;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;IR;AS
6963731;153.254.147.65;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JP;AS
6964385;140.205.170.62;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6964162;54.83.2.218;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964393;74.50.63.27;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964461;37.58.17.122;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;TR;AS
6963489;140.205.220.96;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6964218;68.71.222.16;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963830;69.172.201.47;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6963475;69.171.230.68;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964324;199.83.129.48;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
6964369;140.205.170.62;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6963709;210.210.18.53;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;IN;AS
6964445;121.40.42.87;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
6964268;46.224.3.195;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;IR;AS
6964270;59.106.98.139;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JP;AS
