mesurement id;Destination;hop numbers from Gandi;hop numbers from mPlane;hop numbers from FranceIX;hop numbers from LISP-Lab;hop numbers from LIP6;Country;Continent
6963602;199.181.131.249;7;6;11;18;/;US;NA
6963592;124.225.65.154;23;21;26;31;31;CN;AS
6963829;220.243.193.127;7;9;7;16;17;CN;AS
6964271;59.106.98.139;13;15;17;26;/;JP;AS
6963586;124.127.180.200;16;16;26;28;29;CN;AS
6964205;151.101.129.34;9;8;7;19;26;US;NA
6963682;42.236.9.70;14;23;18;26;/;CN;AS
6964400;216.35.221.76;13;12;16;25;26;US;NA
6963616;216.21.13.12;7;9;7;21;/;US;NA
6964133;62.138.116.25;15;16;14;20;21;DE;EU
6964005;69.171.230.5;32;32;32;32;/;US;NA
6964349;115.231.100.109;18;17;27;30;/;CN;AS
6963712;104.27.6.113;4;8;6;18;/;US;NA
6964398;111.206.208.220;17;24;19;32;32;CN;AS
6963825;210.51.19.63;11;11;17;23;32;CN;AS
6963640;104.20.0.4;4;8;6;18;/;US;NA
6963672;192.211.12.20;10;8;13;25;/;US;NA
6963861;185.31.26.232;11;9;12;23;24;PL;EU
6964452;121.40.21.118;17;17;27;29;30;CN;AS
6963961;74.115.50.109;9;18;11;26;27;US;NA
6964075;104.25.174.27;4;8;6;18;19;US;NA
6963916;58.68.250.146;15;14;29;26;28;CN;AS
6963750;104.156.81.217;9;8;7;19;20;US;NA
6964408;192.187.93.86;10;9;13;21;26;US;NA
6964065;206.108.40.108;10;9;14;21;22;US;NA
6964372;46.209.99.210;32;32;32;32;/;IR;AS
6963736;203.209.152.60;12;14;13;25;26;JP;AS
6964422;104.20.81.244;4;8;6;18;19;US;NA
6964283;104.16.15.190;5;8;7;18;19;US;NA
6964450;151.101.16.144;7;6;10;18;19;US;NA
6963999;208.93.170.15;7;6;11;18;19;US;NA
6963952;198.134.112.232;9;14;16;24;25;US;NA
6963948;192.33.31.51;8;9;7;19;20;US;NA
6964259;198.176.43.184;14;19;21;29;30;US;NA
6964394;74.50.63.27;32;32;32;32;32;US;NA
6963720;104.156.81.67;9;8;7;19;20;US;NA
6964323;210.189.86.12;16;16;18;31;32;JP;AS
6963865;104.85.66.52;7;9;7;17;/;US;NA
6964464;87.250.255.11;8;9;9;21;/;RU;EU
6963668;54.222.60.218;21;22;30;32;32;CN;AS
6963680;186.192.90.5;13;9;10;22;23;BR;SA
6964353;162.208.32.99;10;9;14;21;22;US;NA
6963684;72.21.206.80;19;19;22;31;/;US;NA
6964444;199.83.134.216;7;13;10;26;/;US;NA
6964467;216.33.197.90;8;9;14;24;25;AR;SA
6963934;208.85.40.20;7;6;10;18;26;US;NA
6964356;185.6.169.69;9;7;9;18;/;CH;EU
6964143;193.51.224.8;6;6;5;13;14;FR;EU
6964321;140.205.230.48;32;32;32;32;32;CN;AS
6964061;61.129.65.103;16;15;18;27;28;CN;AS
6964364;140.205.250.54;32;32;32;32;32;CN;AS
6964307;95.142.199.215;8;9;10;21;22;RU;EU
6964219;68.71.222.16;30;29;32;32;/;US;NA
6964033;104.16.11.250;5;8;7;18;19;US;NA
6963886;125.6.146.13;13;15;14;27;28;JP;AS
6963552;151.101.1.69;9;8;7;19;/;US;NA
6963708;200.147.67.142;17;16;13;26;27;BR;SA
6964149;78.140.188.189;9;6;6;18;19;NL;EU
6964053;104.16.122.127;5;9;7;18;/;US;NA
6963979;119.145.147.181;16;15;25;27;28;CN;AS
6964277;151.101.65.95;9;8;7;19;/;US;NA
6963815;194.132.198.165;12;15;15;22;/;JP;AS
6963981;207.241.224.2;14;19;15;28;29;US;NA
6964289;104.16.29.30;5;9;7;18;/;US;NA
6964049;23.205.220.82;14;10;10;20;21;US;NA
6964131;74.112.185.90;7;6;20;18;19;US;NA
6964011;118.145.26.112;26;23;21;32;32;CN;AS
6963516;193.51.224.148;6;8;5;32;21;FR;EU
6963694;124.95.181.184;31;32;32;32;32;CN;AS
6964376;170.146.93.56;11;10;15;22;23;US;NA
6963498;108.174.10.10;8;7;12;19;20;US;NA
6963670;104.16.51.93;5;9;7;18;26;US;NA
6963514;198.41.209.138;5;8;7;18;/;US;NA
6964396;65.97.58.16;9;14;11;23;/;GB;EU
6963855;213.180.141.140;9;14;14;22;/;PL;EU
6964319;23.35.125.139;5;8;4;13;14;NL;EU
6963777;104.70.253.135;12;11;14;23;24;US;NA
6963835;123.103.57.11;18;20;27;32;32;CN;AS
6964077;204.154.94.73;7;6;13;18;19;US;NA
6963769;104.94.192.167;7;9;6;19;/;US;NA
6964157;104.20.55.43;4;8;6;18;19;US;NA
6963650;125.6.149.67;13;15;14;27;28;JP;AS
6963892;46.28.209.20;9;8;8;20;21;ES;EU
6964489;23.3.152.175;5;7;10;19;/;NL;EU
6963606;66.235.120.127;6;7;10;19;26;US;NA
6963598;106.120.151.169;14;13;23;25;/;CN;AS
6964325;199.83.129.48;8;16;18;26;26;US;NA
6963748;104.20.60.241;4;8;6;18;26;US;NA
6963841;104.18.41.167;4;8;7;18;19;US;NA
6964107;104.31.72.239;4;8;6;18;/;US;NA
