mesurement id;Destination;hop numbers from Gandi;hop numbers from mPlane;hop numbers from FranceIX;hop numbers from LIP6;hop numbers from LISP-Lab;Country;Continent
6964724;2a02:6b8::50;8;14;8;/;14;RU;EU
6964625;2620:0:862:ed1a::1;5;13;6;/;13;US;NA
6964569;2400:cb00:2048:1::6814:104;4;9;5;32;9;HK;AS
6964686;2400:cb00:2048:1::6814:3fcb;4;9;5;32;9;HK;AS
6964682;2001:41d0:8:2674::70;8;13;9;32;13;FR;EU
6964698;2a01:e0c:1::1;9;10;8;32;10;FR;EU
6964722;2a00:1450:4007:80c::2009;4;32;4;27;10;IE;EU
6964690;2400:cb00:2048:1::6814:372b;4;9;5;32;9;HK;AS
6964653;2a02:598:2::1039;9;20;9;32;20;CZ;EU
6964629;2400:cb00:2048:1::6814:18f7;4;9;5;32;9;HK;AS
6964589;2a00:1450:4007:805::200e;6;14;7;/;14;IE;EU
6964545;2a00:1450:4007:806::2009;7;14;7;32;14;IE;EU
6964525;2a00:1450:4007:805::2003;7;14;7;/;14;IE;EU
6964617;2400:cb00:2048:1::6810:35a2;4;9;5;32;9;HK;AS
6964517;2a00:1450:4007:807::2003;7;15;7;32;15;IE;EU
6964627;2400:cb00:2048:1::6810:7a6c;4;9;5;/;9;HK;AS
6964505;2620:0:862:ed1a::1;5;13;6;30;13;US;NA
6964543;2a00:1450:4007:806::2003;7;14;7;32;14;IE;EU
6964680;2400:cb00:2048:1::6814:44cc;4;9;5;32;9;HK;AS
6964533;2a00:1450:4007:805::2009;7;14;7;32;14;IE;EU
6964736;2001:260:401:270::43;20;27;20;32;27;JP;AS
6964718;2a02:6b8:a::a;7;13;7;31;13;RU;EU
6964537;2a02:26f0:b2:198::d80;8;12;10;32;12;;EU
6964643;2a04:4e42:600::230;8;12;8;/;12;;EU
6964497;2a00:1450:4007:806::2004;7;14;7;32;14;IE;EU
6964708;2a00:1450:4007:80c::2009;4;32;4;27;10;IE;EU
6964631;2003:2:4:164:217:6:164:162;8;12;9;32;12;DE;EU
6964676;2400:cb00:2048:1::6810:a632;4;9;5;32;9;HK;AS
6964641;2a04:cb41:f016:4::11;8;14;9;32;14;NL;EU
6964671;2400:cb00:2048:1::6819:af1b;4;9;5;32;9;HK;AS
6964519;2a00:1450:4007:805::2003;7;14;7;32;14;IE;EU
6964738;2001:420:1101:1::a;16;18;15;/;18;US;NA
6964609;2400:cb00:2048:1::6810:56ca;4;9;5;/;9;HK;AS
6964523;2a00:1148:db00:0:b0b0::1;10;15;10;32;15;RU;EU
6964692;2400:cb00:2048:1::6819:1b65;4;9;5;32;9;HK;AS
6964665;2400:cb00:2048:1::6814:4a6a;4;9;5;32;9;HK;AS
6964667;2a02:6b8::2:105;8;14;8;32;14;RU;EU
6964649;2620:106:e003:f00e::63;9;18;9;/;18;US;NA
6964621;2a00:1450:400c:c02::a0;16;23;17;32;23;IE;EU
6964659;2001:1890:1c00:5112::f:1008;10;18;10;32;18;US;NA
6964726;2400:cb00:2048:1::6814:50f4;4;9;5;32;9;HK;AS
6964657;2400:cb00:2048:1::6814:5e79;4;9;5;32;9;HK;AS
6964706;2a00:1450:4007:805::2004;7;14;7;/;14;IE;EU
6964603;2001:978:2:aa::25:2;9;13;8;32;13;DE;EU
6964669;2a00:1450:4007:805::2004;7;14;7;/;14;IE;EU
6964585;2804:49c:3103:401:ffff:ffff:ffff:1;15;21;15;32;21;BR;SA
6964499;2a00:1450:4007:806::200e;7;14;7;32;14;IE;EU
6964637;2400:cb00:2048:1::6819:1863;4;9;5;31;9;HK;AS
6964730;2400:cb00:2048:1::6814:3338;4;9;5;32;9;HK;AS
6964509;2a00:1450:4007:805::2003;7;14;7;/;14;IE;EU
6964507;2a00:1450:4007:805::2003;7;14;7;32;14;IE;EU
6964515;2a02:6b8:a::a;7;13;7;31;13;RU;EU
6964704;2a04:cb41:f016:1::46;8;14;9;32;14;NL;EU
6964732;2a02:6b8::224;7;13;7;31;13;RU;EU
6964511;2620:109:c002::6cae:a0a;30;19;9;32;19;US;NA
6964553;2a02:b48:4000:d::1;7;14;9;32;14;UA;EU
6964587;2400:cb00:2048:1::681b:671;4;9;5;32;9;HK;AS
6964734;2400:cb00:2048:1::681b:d61e;4;9;5;32;9;HK;AS
6964607;2a00:1450:4007:808::2009;6;15;7;32;15;IE;EU
6964700;2400:cb00:2048:1::681c:1bd1;4;9;5;32;9;HK;AS
6964716;2400:cb00:2048:1::6814:4298;4;9;5;31;9;HK;AS
6964575;2400:cb00:2048:1::6810:325d;4;9;5;32;9;HK;AS
6964595;2400:cb00:2048:1::6814:1c30;4;9;5;32;9;HK;AS
6964561;2001:df0:23e:9002::15;11;16;9;/;17;IN;AS
6964740;2400:cb00:2048:1::681b:a0a0;4;9;5;32;9;HK;AS
6964503;2001:4998:44:204::a7;14;20;15;32;20;US;NA
6964521;2a00:1450:4007:805::2003;6;14;7;/;14;IE;EU
6964696;2a00:1450:4007:805::2004;7;14;7;32;14;IE;EU
6964728;2400:cb00:2048:1::6818:a02;4;9;5;32;9;HK;AS
