mesurement id;Destination;median(avg RTT) from Gandi;median(avg RTT) from mPlane;median(avg RTT) from FranceIX;median(avg RTT) from LIP6;median(avg RTT) from LISP-Lab;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LIP6;variance from LISP-Lab;Country;Continent
9962077;46.224.3.195;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;IR;AS
9962073;185.72.231.14;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;RU;EU
9961967;208.94.153.100;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961156;54.236.213.89;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9962251;121.40.42.87;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9962075;66.235.121.141;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961190;78.140.191.70;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NL;EU
9961501;173.252.120.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9962001;52.197.170.122;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961521;104.70.242.123;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9962061;74.205.63.94;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9962011;124.243.228.203;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9961882;66.235.120.94;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961258;66.235.120.127;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961327;123.126.98.150;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9961623;96.114.14.140;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961594;63.240.4.179;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961820;69.171.230.5;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
