destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
31.13.76.102;mPlane;[148.917, 150.0483333333, 151.557];[144.232, 144.6703333333, 144.92];[143.161, 143.2673333333, 143.376];[143.238, 143.4386666667, 143.733];[143.314, 144.776, 147.638];[143.206, 151.461, 167.782];[143.259, 143.3396666667, 143.398];[146.238, 148.8963333333, 150.433];[143.157, 143.3706666667, 143.59];[143.229, 143.3493333333, 143.438];[143.182, 143.355, 143.543];[143.214, 145.2766666667, 147.745];[143.259, 144.6866666667, 147.298];[145.085, 152.4336666667, 164.586];[143.214, 145.6706666667, 150.518];[143.329, 143.689, 144.18];[146.401, 146.9083333333, 147.324];[158.701, 159.1103333333, 159.676];[143.296, 144.5773333333, 145.899];[143.27, 143.3723333333, 143.478];[143.423, 143.449, 143.491];[143.71, 146.758, 149.326];[143.345, 145.1196666667, 147.629];[144.515, 146.022, 147.732];[149.841, 150.59, 151.165];[143.17, 148.201, 158.205];[146.323, 149.0306666667, 152.683];[143.329, 143.4776666667, 143.575];[144.112, 192.2696666667, 279.036];[145.327, 149.3553333333, 151.698];[143.582, 149.9776666667, 153.754];[143.245, 143.4193333333, 143.516];[143.241, 144.0406666667, 145.275];[143.263, 149.628, 162.208];[143.337, 143.374, 143.411];[143.191, 143.519, 143.966]
31.13.76.102;FranceIX;[128.882494, 129.097423, 129.240249];[128.917373, 129.014165, 129.133478];[128.935752, 128.961054, 128.982829];[128.812721, 128.9513823333, 129.042958];[129.174046, 129.3535883333, 129.445024];[129.175371, 129.2372516667, 129.296886];[128.942516, 129.1028926667, 129.19607];[129.18128, 129.336386, 129.532912];[128.881304, 128.9526553333, 129.031787];[129.368988, 129.5724293333, 129.739533];[128.851255, 128.996036, 129.167602];[129.015479, 129.090638, 129.210539];[128.85394, 128.9686203333, 129.173242];[128.893338, 129.128447, 129.402013];[129.200215, 129.211481, 129.219409];[129.000193, 129.073357, 129.123208];[129.141498, 179.3566203333, 279.365064];[129.174476, 129.3869266667, 129.705107];[129.498398, 130.1049876667, 130.741928];[143.029898, 144.7453916667, 146.863376];[129.267367, 129.352854, 129.428501];[129.019943, 129.1698793333, 129.306235];[129.277737, 129.397102, 129.610678];[129.08184, 129.3202133333, 129.760956];[129.112954, 129.1804496667, 129.218485];[129.120099, 130.2719943333, 132.181947];[130.169638, 131.0087886667, 132.524132];[129.065541, 129.261369, 129.507916];[129.262857, 129.3683126667, 129.479113];[129.273507, 129.3269913333, 129.402831];[129.017108, 129.1441706667, 129.373108];[129.130144, 129.447051, 129.934548];[129.356378, 129.5294426667, 129.69108];[129.046682, 129.37604, 129.773219];[129.162952, 129.2964443333, 129.538325];[129.19867, 129.513408, 129.804863]
31.13.76.102;rmd;[156.90532, 157.144605, 157.394865];[157.014895, 157.6657033333, 158.110425];[157.0352, 157.55865, 157.924165];[157.022735, 157.2892033333, 157.49907];[157.141125, 157.4467433333, 157.773935];[157.903155, 157.9402583333, 157.977725];[157.15635, 157.35021, 157.61673];[157.07518, 157.4984616667, 157.901555];[157.156715, 157.5325833333, 157.77262];[157.404255, 157.66702, 157.85244];[157.15962, 157.456735, 157.849355];[157.050175, 157.501225, 157.88949];[157.139005, 157.263215, 157.385885];[157.81812, 157.8561566667, 157.905745];[156.99102, 157.271175, 157.477545];[157.314515, 157.529505, 157.78181];[157.261865, 157.624315, 157.862195];[157.23579, 157.3703766667, 157.454115];[157.18088, 157.39711, 157.619705];[157.562475, 157.7816716667, 157.89514];[157.390225, 157.5186783333, 157.72568];[157.17338, 157.3649766667, 157.72621];[157.254145, 157.485895, 157.66874];[157.73418, 157.93392, 158.117345];[157.248865, 157.5900983333, 157.95273];[157.81723, 157.9539766667, 158.156355];[156.9203, 157.7575666667, 158.19413];[157.283445, 157.4917483333, 157.62933];[157.836735, 157.975345, 158.18481];[157.64538, 157.8378033333, 157.97144];[157.3372, 157.57271, 157.812165];[157.117495, 157.5487333333, 157.76954];[164.846355, 165.1650483333, 165.733145];[165.167775, 165.2301383333, 165.34602];[164.708175, 165.0350083333, 165.6434];[165.130725, 165.3388333333, 165.491445]
31.13.76.102;LISP-Lab;[161.75241, 163.7450633333, 167.57441];[161.635785, 161.801375, 161.929815];[161.65217, 162.7511183333, 164.622365];[161.716615, 161.9672916667, 162.195175];[161.38088, 161.6610616667, 161.86189];[161.531595, 167.2180116667, 170.54695];[161.71661, 165.1947033333, 171.69497];[161.81495, 163.84266, 167.876995];[162.13135, 162.581715, 163.3785];[164.37383, 171.407855, 180.607425];[161.96589, 164.322175, 168.67071];[161.979265, 162.0780283333, 162.258635];[162.540895, 163.429635, 164.57744];[162.278595, 172.8944133333, 193.065895];[161.685155, 161.8730583333, 162.09273];[161.616605, 170.59619, 188.29377];[161.84305, 162.85413, 163.777935];[161.709045, 161.89927, 162.02351];[162.01434, 163.3015716667, 165.32731];[161.07905, 164.163295, 170.0488];[178.949065, 187.8014016667, 196.082905];[161.980015, 162.5662666667, 163.43164];[161.346185, 162.4361033333, 164.269075];[161.94422, 162.417395, 162.816565];[-1, -1, -1];[163.6962, 166.7580083333, 170.79407];[169.487665, 171.5818383333, 175.267955];[161.072375, 161.912125, 162.63104];[168.649435, 174.1712, 179.548585];[162.37144, 162.6388966667, 162.985755];[162.52634, 163.9599383333, 166.361775];[169.54937, 173.3913816667, 176.124885];[163.23356, 167.2353066667, 169.763675];[161.97179, 162.4507166667, 163.38293];[161.64001, 163.1835583333, 165.893665];[162.95364, 164.2413933333, 166.804335]
74.125.136.190;mPlane;[15.984, 19.537, 23.675];[17.593, 18.29, 19.094];[16.652, 22.8416666667, 26.121];[16.093, 16.0993333333, 16.105];[15.88, 16.415, 17.432];[15.883, 16.211, 16.787];[15.999, 16.0453333333, 16.132];[15.913, 16.276, 16.864];[20.323, 21.9846666667, 23.022];[16.123, 22.4536666667, 26.151];[16.03, 16.084, 16.158];[16.109, 19.638, 26.581];[15.998, 16.106, 16.179];[16.095, 19.65, 26.702];[18.283, 20.21, 21.396];[16.061, 16.2103333333, 16.324];[15.993, 16.0606666667, 16.163];[18.078, 19.1823333333, 20.824];[21.986, 23.53, 24.537];[18.06, 19.192, 20.71];[15.965, 16.0443333333, 16.129];[16.073, 16.1353333333, 16.186];[15.959, 19.3086666667, 25.782];[15.891, 16.1343333333, 16.544];[16.027, 19.4666666667, 26.301];[15.96, 16.2186666667, 16.531];[20.242, 23.084, 27.599];[15.97, 16.186, 16.476];[15.883, 15.993, 16.149];[15.959, 16.0083333333, 16.081];[17.087, 21.276, 24.364];[16.301, 18.542, 22.803];[16.155, 16.1983333333, 16.259];[16.188, 16.243, 16.345];[21.059, 21.5653333333, 22.446];[16.121, 19.2836666667, 25.426]
74.125.136.190;rmd;[16.82928, 17.0287633333, 17.325715];[16.83842, 17.338855, 17.811565];[16.87783, 17.146705, 17.319015];[16.55326, 16.7821833333, 17.07645];[16.899615, 17.1310966667, 17.50907];[16.812635, 17.0188766667, 17.4279];[16.74348, 17.2022616667, 17.683485];[16.3762, 16.64347, 16.837645];[16.588375, 16.7155966667, 16.81887];[16.561355, 17.0637233333, 17.369515];[16.744255, 16.8423316667, 17.02696];[16.530175, 16.69564, 16.841825];[16.96916, 17.1544533333, 17.248825];[16.541345, 16.7102183333, 16.85034];[15.730645, 16.1542316667, 16.430565];[15.70666, 16.1932783333, 16.481945];[15.868485, 15.9496983333, 16.014405];[15.73708, 15.7973533333, 15.854025];[16.373265, 16.7985066667, 17.285475];[16.78691, 16.96224, 17.290145];[16.87751, 17.0855016667, 17.269145];[16.3757, 16.8900266667, 17.53206];[17.04907, 17.2453866667, 17.610565];[16.918275, 17.084245, 17.34561];[16.809695, 17.1642666667, 17.478635];[16.791875, 16.9427566667, 17.211185];[16.80916, 16.9071483333, 17.089945];[16.658385, 17.0381233333, 17.275745];[16.44053, 16.7189666667, 16.99787];[16.298945, 16.661055, 17.020485];[16.55164, 16.7752183333, 16.96954];[16.33443, 16.5744866667, 16.75304];[16.466325, 16.757185, 17.078245];[16.283465, 16.78546, 17.05684];[15.687155, 15.9383333333, 16.28167];[16.36163, 16.6525583333, 16.903395]
74.125.136.190;FranceIX;[13.513927, 13.5837676667, 13.648907];[13.627077, 13.6660756667, 13.68598];[13.373269, 13.4343893333, 13.541306];[13.256114, 13.3013216667, 13.384448];[13.301447, 13.3641026667, 13.404492];[13.491444, 13.5850326667, 13.723158];[13.507673, 13.61831, 13.731383];[13.534192, 13.6033893333, 13.685391];[13.495288, 13.5588006667, 13.600929];[13.523522, 13.6110016667, 13.779221];[13.507628, 13.5434343333, 13.607328];[13.617163, 13.6343576667, 13.657262];[13.46073, 13.5176593333, 13.602524];[13.542911, 13.693768, 13.818934];[13.593754, 13.6667226667, 13.751437];[13.513158, 13.621795, 13.69979];[13.557411, 13.6249396667, 13.669746];[13.56674, 13.6197906667, 13.650946];[13.899536, 13.9167483333, 13.947743];[13.539847, 13.6072473333, 13.649967];[13.55172, 13.6832983333, 13.80274];[13.691805, 13.714864, 13.732603];[13.655222, 13.7316233333, 13.821669];[13.608714, 13.7473073333, 13.904205];[13.651347, 13.7849746667, 13.94031];[13.723839, 13.7604743333, 13.820721];[13.519988, 13.7587176667, 13.915881];[13.509022, 13.6805086667, 13.807255];[13.576, 13.7236203333, 13.93162];[13.495183, 13.5844613333, 13.635313];[13.955348, 13.9971643333, 14.061773];[13.696304, 13.8350333333, 13.911151];[13.655037, 13.715041, 13.817555];[13.522027, 13.6319956667, 13.754347];[13.677606, 13.7044943333, 13.735128];[13.540682, 13.652582, 13.770997]
74.125.136.190;LISP-Lab;[30.478895, 30.5732416667, 30.667905];[30.677, 30.94214, 31.2227];[30.61798, 31.0480133333, 31.867465];[30.409825, 30.5211, 30.670395];[30.326855, 30.4548866667, 30.597065];[31.14685, 31.1990183333, 31.256045];[31.09871, 37.14772, 40.711375];[31.01359, 31.1722083333, 31.396935];[30.877145, 30.8970016667, 30.92468];[31.164915, 32.808035, 35.80306];[31.339795, 31.7472433333, 32.25319];[31.260445, 31.5153183333, 31.879195];[32.655485, 34.3450933333, 36.080905];[31.43404, 33.55808, 36.206985];[31.13447, 31.4811033333, 31.83072];[31.288425, 31.5833216667, 31.99351];[30.996735, 31.117235, 31.29168];[30.40806, 30.5891083333, 30.830755];[30.78751, 31.593525, 33.136355];[30.67699, 33.096395, 36.5878];[37.257225, 37.9879316667, 39.216935];[30.46774, 30.6761433333, 30.839815];[36.95359, 38.3488733333, 39.54908];[30.70093, 31.24601, 32.12002];[30.95496, 31.2784133333, 31.692465];[31.06755, 109.716475, 188.3654];[36.200635, 39.01347, 40.5034];[31.05111, 31.27003, 31.583405];[30.92591, 31.3590766667, 31.79933];[31.661415, 32.0619966667, 32.57328];[31.050395, 31.6089066667, 32.44775];[41.95055, 46.906305, 52.50598];[45.162715, 48.0236, 51.88501];[31.062365, 31.2096666667, 31.401885];[30.6559, 30.7101583333, 30.772485];[31.164385, 32.3453683333, 32.973305]
180.149.132.47;mPlane;[389.63, 393.2126666667, 395.169];[369.26, 384.081, 398.92];[400.416, 404.8913333333, 408.783];[373.402, 388.7453333333, 400.183];[388.434, 393.523, 398.612];[408.77, 417.5696666667, 433.818];[397.567, 404.0153333333, 409.606];[398.216, 403.6416666667, 413.384];[401.26, 416.326, 425.124];[391.192, 414.7483333333, 457.663];[379.338, 393.051, 400.432];[405.997, 407.1346666667, 408.222];[437.078, 442.5216666667, 453.022];[391.491, 408.2386666667, 417.705];[382.328, 397.933, 406.431];[397.65, 398.3035, 398.957];[416.863, 416.863, 416.863];[404.808, 407.7533333333, 412.012];[402.703, 403.97, 406.237];[418.654, 429.157, 439.66];[430.634, 434.6546666667, 440.549];[423.616, 425.222, 426.828];[423.592, 426.717, 430.861];[423.211, 428.014, 436.198];[407.076, 407.9493333333, 408.48];[428.161, 430.456, 432.01];[408.036, 420.173, 430.453];[408.86, 412.1326666667, 416.062];[424.067, 441.1256666667, 455.01];[418.623, 422.1783333333, 426.079];[415.853, 421.0066666667, 427.715];[463.012, 465.9976666667, 468.466];[497.193, 508.919, 516.295];[477.46, 478.362, 479.204];[403.807, 403.807, 403.807];[425.614, 434.7676666667, 440.295]
180.149.132.47;rmd;[234.88516, 237.5686525, 240.252145];[237.593825, 239.193795, 240.52491];[237.980425, 238.7908816667, 239.4888];[240.090765, 241.52163, 243.01573];[239.07913, 240.180995, 240.75853];[236.857765, 239.9355383333, 241.64006];[238.34685, 241.2085366667, 245.58523];[230.65086, 236.0708033333, 240.84542];[240.984865, 243.4490733333, 247.03888];[300.82878, 309.6372725, 318.445765];[235.89017, 239.2444666667, 240.948475];[236.56612, 240.4772175, 244.388315];[236.25287, 239.1122283333, 241.085215];[323.50795, 327.27969, 331.05143];[240.49801, 242.9103133333, 245.76032];[241.650455, 242.513705, 243.376955];[242.626995, 244.331125, 247.04147];[244.17067, 244.17067, 244.17067];[243.57559, 244.2057216667, 244.65665];[239.18935, 241.1579433333, 242.17907];[243.82965, 245.3004083333, 247.87581];[242.232785, 243.76559, 245.298395];[243.093315, 243.5286375, 243.96396];[244.07158, 244.278665, 244.558275];[243.461955, 245.1024083333, 246.64941];[238.927345, 242.59177, 245.019155];[242.954835, 244.2140466667, 245.428885];[243.94412, 247.0856583333, 251.224965];[244.00315, 244.514785, 245.02642];[243.603865, 244.2997566667, 245.33221];[241.676825, 242.5337733333, 243.38178];[284.221035, 284.948145, 285.675255];[293.33331, 294.5864216667, 295.653975];[291.906095, 292.3993983333, 292.832385];[292.13473, 292.957445, 293.65177]
