destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
31.13.76.102;mPlane;150.0483333333;144.6703333333;143.2673333333;143.4386666667;144.776;151.461;143.3396666667;148.8963333333;143.3706666667;143.3493333333;143.355;145.2766666667;144.6866666667;152.4336666667;145.6706666667;143.689;146.9083333333;159.1103333333;144.5773333333;143.3723333333;143.449;146.758;145.1196666667;146.022;150.59;148.201;149.0306666667;143.4776666667;192.2696666667;149.3553333333;149.9776666667;143.4193333333;144.0406666667;149.628;143.374;143.519
31.13.76.102;FranceIX;129.097423;129.014165;128.961054;128.9513823333;129.3535883333;129.2372516667;129.1028926667;129.336386;128.9526553333;129.5724293333;128.996036;129.090638;128.9686203333;129.128447;129.211481;129.073357;179.3566203333;129.3869266667;130.1049876667;144.7453916667;129.352854;129.1698793333;129.397102;129.3202133333;129.1804496667;130.2719943333;131.0087886667;129.261369;129.3683126667;129.3269913333;129.1441706667;129.447051;129.5294426667;129.37604;129.2964443333;129.513408
31.13.76.102;rmd;157.144605;157.6657033333;157.55865;157.2892033333;157.4467433333;157.9402583333;157.35021;157.4984616667;157.5325833333;157.66702;157.456735;157.501225;157.263215;157.8561566667;157.271175;157.529505;157.624315;157.3703766667;157.39711;157.7816716667;157.5186783333;157.3649766667;157.485895;157.93392;157.5900983333;157.9539766667;157.7575666667;157.4917483333;157.975345;157.8378033333;157.57271;157.5487333333;165.1650483333;165.2301383333;165.0350083333;165.3388333333
31.13.76.102;LISP-Lab;163.7450633333;161.801375;162.7511183333;161.9672916667;161.6610616667;167.2180116667;165.1947033333;163.84266;162.581715;171.407855;164.322175;162.0780283333;163.429635;172.8944133333;161.8730583333;170.59619;162.85413;161.89927;163.3015716667;164.163295;187.8014016667;162.5662666667;162.4361033333;162.417395;-1;166.7580083333;171.5818383333;161.912125;174.1712;162.6388966667;163.9599383333;173.3913816667;167.2353066667;162.4507166667;163.1835583333;164.2413933333
74.125.136.190;mPlane;19.537;18.29;22.8416666667;16.0993333333;16.415;16.211;16.0453333333;16.276;21.9846666667;22.4536666667;16.084;19.638;16.106;19.65;20.21;16.2103333333;16.0606666667;19.1823333333;23.53;19.192;16.0443333333;16.1353333333;19.3086666667;16.1343333333;19.4666666667;16.2186666667;23.084;16.186;15.993;16.0083333333;21.276;18.542;16.1983333333;16.243;21.5653333333;19.2836666667
74.125.136.190;rmd;17.0287633333;17.338855;17.146705;16.7821833333;17.1310966667;17.0188766667;17.2022616667;16.64347;16.7155966667;17.0637233333;16.8423316667;16.69564;17.1544533333;16.7102183333;16.1542316667;16.1932783333;15.9496983333;15.7973533333;16.7985066667;16.96224;17.0855016667;16.8900266667;17.2453866667;17.084245;17.1642666667;16.9427566667;16.9071483333;17.0381233333;16.7189666667;16.661055;16.7752183333;16.5744866667;16.757185;16.78546;15.9383333333;16.6525583333
74.125.136.190;FranceIX;13.5837676667;13.6660756667;13.4343893333;13.3013216667;13.3641026667;13.5850326667;13.61831;13.6033893333;13.5588006667;13.6110016667;13.5434343333;13.6343576667;13.5176593333;13.693768;13.6667226667;13.621795;13.6249396667;13.6197906667;13.9167483333;13.6072473333;13.6832983333;13.714864;13.7316233333;13.7473073333;13.7849746667;13.7604743333;13.7587176667;13.6805086667;13.7236203333;13.5844613333;13.9971643333;13.8350333333;13.715041;13.6319956667;13.7044943333;13.652582
74.125.136.190;LISP-Lab;30.5732416667;30.94214;31.0480133333;30.5211;30.4548866667;31.1990183333;37.14772;31.1722083333;30.8970016667;32.808035;31.7472433333;31.5153183333;34.3450933333;33.55808;31.4811033333;31.5833216667;31.117235;30.5891083333;31.593525;33.096395;37.9879316667;30.6761433333;38.3488733333;31.24601;31.2784133333;109.716475;39.01347;31.27003;31.3590766667;32.0619966667;31.6089066667;46.906305;48.0236;31.2096666667;30.7101583333;32.3453683333
180.149.132.47;mPlane;393.2126666667;384.081;404.8913333333;388.7453333333;393.523;417.5696666667;404.0153333333;403.6416666667;416.326;414.7483333333;393.051;407.1346666667;442.5216666667;408.2386666667;397.933;398.3035;416.863;407.7533333333;403.97;429.157;434.6546666667;425.222;426.717;428.014;407.9493333333;430.456;420.173;412.1326666667;441.1256666667;422.1783333333;421.0066666667;465.9976666667;508.919;478.362;403.807;434.7676666667
180.149.132.47;rmd;237.5686525;239.193795;238.7908816667;241.52163;240.180995;239.9355383333;241.2085366667;236.0708033333;243.4490733333;309.6372725;239.2444666667;240.4772175;239.1122283333;327.27969;242.9103133333;242.513705;244.331125;244.17067;244.2057216667;241.1579433333;245.3004083333;243.76559;243.5286375;244.278665;245.1024083333;242.59177;244.2140466667;247.0856583333;244.514785;244.2997566667;242.5337733333;284.948145;-1;294.5864216667;292.3993983333;292.957445
