destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
31.13.76.102;mPlane;151.557;144.92;143.376;143.733;147.638;167.782;143.398;150.433;143.59;143.438;143.543;147.745;147.298;164.586;150.518;144.18;147.324;159.676;145.899;143.478;143.491;149.326;147.629;147.732;151.165;158.205;152.683;143.575;279.036;151.698;153.754;143.516;145.275;162.208;143.411;143.966
31.13.76.102;FranceIX;129.240249;129.133478;128.982829;129.042958;129.445024;129.296886;129.19607;129.532912;129.031787;129.739533;129.167602;129.210539;129.173242;129.402013;129.219409;129.123208;279.365064;129.705107;130.741928;146.863376;129.428501;129.306235;129.610678;129.760956;129.218485;132.181947;132.524132;129.507916;129.479113;129.402831;129.373108;129.934548;129.69108;129.773219;129.538325;129.804863
31.13.76.102;rmd;157.394865;158.110425;157.924165;157.49907;157.773935;157.977725;157.61673;157.901555;157.77262;157.85244;157.849355;157.88949;157.385885;157.905745;157.477545;157.78181;157.862195;157.454115;157.619705;157.89514;157.72568;157.72621;157.66874;158.117345;157.95273;158.156355;158.19413;157.62933;158.18481;157.97144;157.812165;157.76954;165.733145;165.34602;165.6434;165.491445
31.13.76.102;LISP-Lab;167.57441;161.929815;164.622365;162.195175;161.86189;170.54695;171.69497;167.876995;163.3785;180.607425;168.67071;162.258635;164.57744;193.065895;162.09273;188.29377;163.777935;162.02351;165.32731;170.0488;196.082905;163.43164;164.269075;162.816565;-1;170.79407;175.267955;162.63104;179.548585;162.985755;166.361775;176.124885;169.763675;163.38293;165.893665;166.804335
74.125.136.190;mPlane;23.675;19.094;26.121;16.105;17.432;16.787;16.132;16.864;23.022;26.151;16.158;26.581;16.179;26.702;21.396;16.324;16.163;20.824;24.537;20.71;16.129;16.186;25.782;16.544;26.301;16.531;27.599;16.476;16.149;16.081;24.364;22.803;16.259;16.345;22.446;25.426
74.125.136.190;rmd;17.325715;17.811565;17.319015;17.07645;17.50907;17.4279;17.683485;16.837645;16.81887;17.369515;17.02696;16.841825;17.248825;16.85034;16.430565;16.481945;16.014405;15.854025;17.285475;17.290145;17.269145;17.53206;17.610565;17.34561;17.478635;17.211185;17.089945;17.275745;16.99787;17.020485;16.96954;16.75304;17.078245;17.05684;16.28167;16.903395
74.125.136.190;FranceIX;13.648907;13.68598;13.541306;13.384448;13.404492;13.723158;13.731383;13.685391;13.600929;13.779221;13.607328;13.657262;13.602524;13.818934;13.751437;13.69979;13.669746;13.650946;13.947743;13.649967;13.80274;13.732603;13.821669;13.904205;13.94031;13.820721;13.915881;13.807255;13.93162;13.635313;14.061773;13.911151;13.817555;13.754347;13.735128;13.770997
74.125.136.190;LISP-Lab;30.667905;31.2227;31.867465;30.670395;30.597065;31.256045;40.711375;31.396935;30.92468;35.80306;32.25319;31.879195;36.080905;36.206985;31.83072;31.99351;31.29168;30.830755;33.136355;36.5878;39.216935;30.839815;39.54908;32.12002;31.692465;188.3654;40.5034;31.583405;31.79933;32.57328;32.44775;52.50598;51.88501;31.401885;30.772485;32.973305
180.149.132.47;mPlane;395.169;398.92;408.783;400.183;398.612;433.818;409.606;413.384;425.124;457.663;400.432;408.222;453.022;417.705;406.431;398.957;416.863;412.012;406.237;439.66;440.549;426.828;430.861;436.198;408.48;432.01;430.453;416.062;455.01;426.079;427.715;468.466;516.295;479.204;403.807;440.295
180.149.132.47;rmd;240.252145;240.52491;239.4888;243.01573;240.75853;241.64006;245.58523;240.84542;247.03888;318.445765;240.948475;244.388315;241.085215;331.05143;245.76032;243.376955;247.04147;244.17067;244.65665;242.17907;247.87581;245.298395;243.96396;244.558275;246.64941;245.019155;245.428885;251.224965;245.02642;245.33221;243.38178;285.675255;-1;295.653975;292.832385;293.65177
