destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
31.13.76.102;mPlane;148.917;144.232;143.161;143.238;143.314;143.206;143.259;146.238;143.157;143.229;143.182;143.214;143.259;145.085;143.214;143.329;146.401;158.701;143.296;143.27;143.423;143.71;143.345;144.515;149.841;143.17;146.323;143.329;144.112;145.327;143.582;143.245;143.241;143.263;143.337;143.191
31.13.76.102;FranceIX;128.882494;128.917373;128.935752;128.812721;129.174046;129.175371;128.942516;129.18128;128.881304;129.368988;128.851255;129.015479;128.85394;128.893338;129.200215;129.000193;129.141498;129.174476;129.498398;143.029898;129.267367;129.019943;129.277737;129.08184;129.112954;129.120099;130.169638;129.065541;129.262857;129.273507;129.017108;129.130144;129.356378;129.046682;129.162952;129.19867
31.13.76.102;rmd;156.90532;157.014895;157.0352;157.022735;157.141125;157.903155;157.15635;157.07518;157.156715;157.404255;157.15962;157.050175;157.139005;157.81812;156.99102;157.314515;157.261865;157.23579;157.18088;157.562475;157.390225;157.17338;157.254145;157.73418;157.248865;157.81723;156.9203;157.283445;157.836735;157.64538;157.3372;157.117495;164.846355;165.167775;164.708175;165.130725
31.13.76.102;LISP-Lab;161.75241;161.635785;161.65217;161.716615;161.38088;161.531595;161.71661;161.81495;162.13135;164.37383;161.96589;161.979265;162.540895;162.278595;161.685155;161.616605;161.84305;161.709045;162.01434;161.07905;178.949065;161.980015;161.346185;161.94422;-1;163.6962;169.487665;161.072375;168.649435;162.37144;162.52634;169.54937;163.23356;161.97179;161.64001;162.95364
74.125.136.190;mPlane;15.984;17.593;16.652;16.093;15.88;15.883;15.999;15.913;20.323;16.123;16.03;16.109;15.998;16.095;18.283;16.061;15.993;18.078;21.986;18.06;15.965;16.073;15.959;15.891;16.027;15.96;20.242;15.97;15.883;15.959;17.087;16.301;16.155;16.188;21.059;16.121
74.125.136.190;rmd;16.82928;16.83842;16.87783;16.55326;16.899615;16.812635;16.74348;16.3762;16.588375;16.561355;16.744255;16.530175;16.96916;16.541345;15.730645;15.70666;15.868485;15.73708;16.373265;16.78691;16.87751;16.3757;17.04907;16.918275;16.809695;16.791875;16.80916;16.658385;16.44053;16.298945;16.55164;16.33443;16.466325;16.283465;15.687155;16.36163
74.125.136.190;FranceIX;13.513927;13.627077;13.373269;13.256114;13.301447;13.491444;13.507673;13.534192;13.495288;13.523522;13.507628;13.617163;13.46073;13.542911;13.593754;13.513158;13.557411;13.56674;13.899536;13.539847;13.55172;13.691805;13.655222;13.608714;13.651347;13.723839;13.519988;13.509022;13.576;13.495183;13.955348;13.696304;13.655037;13.522027;13.677606;13.540682
74.125.136.190;LISP-Lab;30.478895;30.677;30.61798;30.409825;30.326855;31.14685;31.09871;31.01359;30.877145;31.164915;31.339795;31.260445;32.655485;31.43404;31.13447;31.288425;30.996735;30.40806;30.78751;30.67699;37.257225;30.46774;36.95359;30.70093;30.95496;31.06755;36.200635;31.05111;30.92591;31.661415;31.050395;41.95055;45.162715;31.062365;30.6559;31.164385
180.149.132.47;mPlane;389.63;369.26;400.416;373.402;388.434;408.77;397.567;398.216;401.26;391.192;379.338;405.997;437.078;391.491;382.328;397.65;416.863;404.808;402.703;418.654;430.634;423.616;423.592;423.211;407.076;428.161;408.036;408.86;424.067;418.623;415.853;463.012;497.193;477.46;403.807;425.614
180.149.132.47;rmd;234.88516;237.593825;237.980425;240.090765;239.07913;236.857765;238.34685;230.65086;240.984865;300.82878;235.89017;236.56612;236.25287;323.50795;240.49801;241.650455;242.626995;244.17067;243.57559;239.18935;243.82965;242.232785;243.093315;244.07158;243.461955;238.927345;242.954835;243.94412;244.00315;243.603865;241.676825;284.221035;-1;293.33331;291.906095;292.13473
